#  frequency dependent IMAGINARY DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.043635   19.129947   19.129947   19.129947    0.000000    0.000000   -0.000000
    0.087271   36.247460   36.247460   36.247460    0.000000    0.000000   -0.000000
    0.130906   49.703997   49.703997   49.703997    0.000000    0.000000   -0.000000
    0.174542   58.493473   58.493473   58.493473    0.000000    0.000000   -0.000000
    0.218177   62.382004   62.382004   62.382004   -0.000000   -0.000000   -0.000000
    0.261813   61.861646   61.861646   61.861646   -0.000000   -0.000000   -0.000000
    0.305448   57.953610   57.953610   57.953610   -0.000000   -0.000000   -0.000000
    0.349084   51.927356   51.927356   51.927356   -0.000000   -0.000000   -0.000000
    0.392719   45.019934   45.019934   45.019934   -0.000000    0.000000    0.000000
    0.436355   38.227141   38.227141   38.227141   -0.000000    0.000000    0.000000
    0.479990   32.203315   32.203315   32.203315   -0.000000    0.000000    0.000000
    0.523625   27.264071   27.264071   27.264071   -0.000000    0.000000    0.000000
    0.567261   23.457196   23.457196   23.457196   -0.000000    0.000000    0.000000
    0.610896   20.658693   20.658693   20.658693   -0.000000    0.000000    0.000000
    0.654532   18.658634   18.658634   18.658634   -0.000000    0.000000    0.000000
    0.698167   17.221428   17.221428   17.221428   -0.000000    0.000000    0.000000
    0.741803   16.121447   16.121447   16.121447   -0.000000    0.000000    0.000000
    0.785438   15.163652   15.163652   15.163652   -0.000000    0.000000    0.000000
    0.829074   14.198457   14.198457   14.198457   -0.000000    0.000000    0.000000
    0.872709   13.133714   13.133714   13.133714   -0.000000    0.000000   -0.000000
    0.916345   11.940421   11.940421   11.940421   -0.000000    0.000000   -0.000000
    0.959980   10.647419   10.647419   10.647419   -0.000000    0.000000   -0.000000
    1.003615    9.323378    9.323378    9.323378   -0.000000    0.000000   -0.000000
    1.047251    8.050786    8.050786    8.050786   -0.000000   -0.000000   -0.000000
    1.090886    6.900591    6.900591    6.900591   -0.000000   -0.000000   -0.000000
    1.134522    5.915874    5.915874    5.915874    0.000000   -0.000000   -0.000000
    1.178157    5.108272    5.108272    5.108272    0.000000   -0.000000   -0.000000
    1.221793    4.464797    4.464797    4.464797    0.000000   -0.000000   -0.000000
    1.265428    3.959418    3.959418    3.959418    0.000000    0.000000   -0.000000
    1.309064    3.563644    3.563644    3.563644    0.000000    0.000000   -0.000000
    1.352699    3.253234    3.253234    3.253234    0.000000   -0.000000   -0.000000
    1.396335    3.010953    3.010953    3.010953    0.000000   -0.000000   -0.000000
    1.439970    2.826925    2.826925    2.826925    0.000000   -0.000000   -0.000000
    1.483605    2.697728    2.697728    2.697728    0.000000   -0.000000   -0.000000
    1.527241    2.624711    2.624711    2.624711    0.000000   -0.000000   -0.000000
    1.570876    2.611389    2.611389    2.611389    0.000000   -0.000000   -0.000000
    1.614512    2.660039    2.660039    2.660039    0.000000   -0.000000   -0.000000
    1.658147    2.768240    2.768240    2.768240    0.000000   -0.000000   -0.000000
    1.701783    2.926528    2.926528    2.926528    0.000000   -0.000000   -0.000000
    1.745418    3.118203    3.118203    3.118203    0.000000   -0.000000   -0.000000
    1.789054    3.321762    3.321762    3.321762    0.000000   -0.000000   -0.000000
    1.832689    3.515645    3.515645    3.515645    0.000000    0.000000   -0.000000
    1.876325    3.684153    3.684153    3.684153    0.000000    0.000000   -0.000000
    1.919960    3.822723    3.822723    3.822723    0.000000    0.000000   -0.000000
    1.963595    3.941034    3.941034    3.941034    0.000000   -0.000000   -0.000000
    2.007231    4.062423    4.062423    4.062423    0.000000   -0.000000   -0.000000
    2.050866    4.219699    4.219699    4.219699    0.000000   -0.000000   -0.000000
    2.094502    4.448117    4.448117    4.448117    0.000000   -0.000000   -0.000000
    2.138137    4.777305    4.777305    4.777305    0.000000   -0.000000   -0.000000
    2.181773    5.224358    5.224358    5.224358    0.000000   -0.000000   -0.000000
    2.225408    5.790168    5.790168    5.790168   -0.000000   -0.000000    0.000000
    2.269044    6.460427    6.460427    6.460427   -0.000000   -0.000000    0.000000
    2.312679    7.211133    7.211133    7.211133    0.000000   -0.000000    0.000000
    2.356315    8.016778    8.016778    8.016778    0.000000   -0.000000    0.000000
    2.399950    8.857677    8.857677    8.857677    0.000000   -0.000000    0.000000
    2.443585    9.723774    9.723774    9.723774    0.000000   -0.000000   -0.000000
    2.487221   10.613428   10.613428   10.613428   -0.000000   -0.000000   -0.000000
    2.530856   11.528587   11.528587   11.528587   -0.000000   -0.000000   -0.000000
    2.574492   12.469155   12.469155   12.469155   -0.000000   -0.000000   -0.000000
