#  frequency dependent      REAL DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000  100.671333  100.671333  100.671333    0.000000    0.000000   -0.000000
    0.043635   97.805363   97.805363   97.805363    0.000000    0.000000   -0.000000
    0.087271   89.627808   89.627808   89.627808   -0.000000    0.000000   -0.000000
    0.130906   77.310625   77.310625   77.310625   -0.000000   -0.000000   -0.000000
    0.174542   62.532420   62.532420   62.532420   -0.000000   -0.000000   -0.000000
    0.218177   47.137829   47.137829   47.137829   -0.000000   -0.000000   -0.000000
    0.261813   32.789157   32.789157   32.789157   -0.000000   -0.000000    0.000000
    0.305448   20.696391   20.696391   20.696391    0.000000    0.000000    0.000000
    0.349084   11.486522   11.486522   11.486522    0.000000    0.000000    0.000000
    0.392719    5.223677    5.223677    5.223677    0.000000    0.000000    0.000000
    0.436355    1.545409    1.545409    1.545409    0.000000   -0.000000    0.000000
    0.479990   -0.147289   -0.147289   -0.147289    0.000000   -0.000000    0.000000
    0.523625   -0.509978   -0.509978   -0.509978    0.000000   -0.000000    0.000000
    0.567261   -0.126945   -0.126945   -0.126945    0.000000   -0.000000    0.000000
    0.610896    0.552169    0.552169    0.552169    0.000000   -0.000000    0.000000
    0.654532    1.223487    1.223487    1.223487    0.000000   -0.000000    0.000000
    0.698167    1.711221    1.711221    1.711221    0.000000   -0.000000    0.000000
    0.741803    1.942039    1.942039    1.942039    0.000000   -0.000000    0.000000
    0.785438    1.922060    1.922060    1.922060    0.000000   -0.000000    0.000000
    0.829074    1.716861    1.716861    1.716861    0.000000   -0.000000   -0.000000
    0.872709    1.429949    1.429949    1.429949    0.000000   -0.000000   -0.000000
    0.916345    1.176881    1.176881    1.176881    0.000000   -0.000000   -0.000000
    0.959980    1.057652    1.057652    1.057652    0.000000   -0.000000   -0.000000
    1.003615    1.134455    1.134455    1.134455    0.000000   -0.000000    0.000000
    1.047251    1.421982    1.421982    1.421982    0.000000   -0.000000    0.000000
    1.090886    1.892798    1.892798    1.892798    0.000000   -0.000000    0.000000
    1.134522    2.493929    2.493929    2.493929    0.000000   -0.000000    0.000000
    1.178157    3.166677    3.166677    3.166677    0.000000   -0.000000    0.000000
    1.221793    3.862001    3.862001    3.862001    0.000000   -0.000000    0.000000
    1.265428    4.547686    4.547686    4.547686    0.000000   -0.000000    0.000000
    1.309064    5.208098    5.208098    5.208098    0.000000   -0.000000    0.000000
    1.352699    5.839806    5.839806    5.839806    0.000000   -0.000000    0.000000
    1.396335    6.446425    6.446425    6.446425    0.000000   -0.000000    0.000000
    1.439970    7.034315    7.034315    7.034315    0.000000   -0.000000    0.000000
    1.483605    7.609277    7.609277    7.609277    0.000000   -0.000000    0.000000
    1.527241    8.173933    8.173933    8.173933    0.000000   -0.000000    0.000000
    1.570876    8.725925    8.725925    8.725925    0.000000   -0.000000   -0.000000
    1.614512    9.257408    9.257408    9.257408    0.000000   -0.000000   -0.000000
    1.658147    9.756557    9.756557    9.756557    0.000000   -0.000000   -0.000000
    1.701783   10.210884   10.210884   10.210884    0.000000   -0.000000   -0.000000
    1.745418   10.611766   10.611766   10.611766    0.000000   -0.000000   -0.000000
    1.789054   10.958722   10.958722   10.958722    0.000000   -0.000000   -0.000000
    1.832689   11.261986   11.261986   11.261986    0.000000   -0.000000   -0.000000
    1.876325   11.542272   11.542272   11.542272    0.000000   -0.000000   -0.000000
    1.919960   11.827278   11.827278   11.827278    0.000000   -0.000000   -0.000000
    1.963595   12.145498   12.145498   12.145498    0.000000   -0.000000   -0.000000
    2.007231   12.519038   12.519038   12.519038    0.000000   -0.000000   -0.000000
    2.050866   12.957328   12.957328   12.957328    0.000000   -0.000000   -0.000000
    2.094502   13.453665   13.453665   13.453665    0.000000   -0.000000   -0.000000
    2.138137   13.985612   13.985612   13.985612    0.000000   -0.000000   -0.000000
    2.181773   14.519657   14.519657   14.519657    0.000000   -0.000000   -0.000000
    2.225408   15.018766   15.018766   15.018766    0.000000   -0.000000   -0.000000
    2.269044   15.450966   15.450966   15.450966    0.000000   -0.000000   -0.000000
    2.312679   15.795829   15.795829   15.795829    0.000000   -0.000000   -0.000000
    2.356315   16.046543   16.046543   16.046543    0.000000   -0.000000   -0.000000
    2.399950   16.206923   16.206923   16.206923    0.000000   -0.000000   -0.000000
    2.443585   16.284738   16.284738   16.284738    0.000000   -0.000000   -0.000000
    2.487221   16.284962   16.284962   16.284962    0.000000   -0.000000   -0.000000
    2.530856   16.205595   16.205595   16.205595   -0.000000   -0.000000   -0.000000
    2.574492   16.037694   16.037694   16.037694    0.000000   -0.000000   -0.000000
    2.618127   15.768607   15.768607   15.768607    0.000000    0.000000   -0.000000
    2.661763   15.385621   15.385621   15.385621    0.000000    0.000000   -0.000000
    2.705398   14.878505   14.878505   14.878505    0.000000    0.000000   -0.000000
    2.749034   14.240175   14.240175   14.240175    0.000000    0.000000   -0.000000
    2.792669   13.467424   13.467424   13.467424    0.000000    0.000000   -0.000000
    2.836305   12.563159   12.563159   12.563159    0.000000    0.000000    0.000000
    2.879940   11.540783   11.540783   11.540783    0.000000    0.000000    0.000000
    2.923576   10.428430   10.428430   10.428430    0.000000    0.000000    0.000000
    2.967211    9.269692    9.269692    9.269692    0.000000    0.000000    0.000000
    3.010846    8.117581    8.117581    8.117581    0.000000    0.000000    0.000000
    3.054482    7.022431    7.022431    7.022431    0.000000   -0.000000    0.000000
    3.098117    6.017798    6.017798    6.017798   -0.000000   -0.000000    0.000000
    3.141753    5.110999    5.110999    5.110999   -0.000000   -0.000000    0.000000
    3.185388    4.283457    4.283457    4.283457   -0.000000   -0.000000    0.000000
    3.229024    3.501497    3.501497    3.501497   -0.000000   -0.000000    0.000000
    3.272659    2.732903    2.732903    2.732903   -0.000000   -0.000000    0.000000
    3.316295    1.961568    1.961568    1.961568   -0.000000   -0.000000    0.000000
    3.359930    1.193589    1.193589    1.193589    0.000000   -0.000000    0.000000
    3.403566    0.452691    0.452691    0.452691    0.000000   -0.000000    0.000000
    3.447201   -0.231622   -0.231622   -0.231622    0.000000   -0.000000    0.000000
    3.490836   -0.836574   -0.836574   -0.836574    0.000000    0.000000    0.000000
    3.534472   -1.353305   -1.353305   -1.353305    0.000000    0.000000    0.000000
    3.578107   -1.786331   -1.786331   -1.786331    0.000000    0.000000    0.000000
    3.621743   -2.147176   -2.147176   -2.147176   -0.000000    0.000000    0.000000
    3.665378   -2.446493   -2.446493   -2.446493   -0.000000    0.000000    0.000000
    3.709014   -2.688605   -2.688605   -2.688605   -0.000000    0.000000    0.000000
    3.752649   -2.870401   -2.870401   -2.870401   -0.000000    0.000000    0.000000
    3.796285   -2.984320   -2.984320   -2.984320   -0.000000    0.000000    0.000000
    3.839920   -3.023749   -3.023749   -3.023749   -0.000000    0.000000    0.000000
    3.883556   -2.988845   -2.988845   -2.988845   -0.000000    0.000000   -0.000000
    3.927191   -2.890788   -2.890788   -2.890788   -0.000000    0.000000   -0.000000
    3.970826   -2.752902   -2.752902   -2.752902   -0.000000    0.000000   -0.000000
    4.014462   -2.607798   -2.607798   -2.607798   -0.000000    0.000000   -0.000000
    4.058097   -2.490863   -2.490863   -2.490863   -0.000000    0.000000   -0.000000
    4.101733   -2.431990   -2.431990   -2.431990   -0.000000   -0.000000   -0.000000
    4.145368   -2.448141   -2.448141   -2.448141   -0.000000   -0.000000   -0.000000
    4.189004   -2.539433   -2.539433   -2.539433   -0.000000   -0.000000   -0.000000
    4.232639   -2.689833   -2.689833   -2.689833   -0.000000   -0.000000    0.000000
    4.276275   -2.872044   -2.872044   -2.872044   -0.000000   -0.000000    0.000000
    4.319910   -3.054553   -3.054553   -3.054553   -0.000000   -0.000000    0.000000
    4.363546   -3.208681   -3.208681   -3.208681   -0.000000    0.000000    0.000000
    4.407181   -3.313848   -3.313848   -3.313848    0.000000    0.000000   -0.000000
    4.450816   -3.360202   -3.360202   -3.360202    0.000000    0.000000   -0.000000
    4.494452   -3.348565   -3.348565   -3.348565    0.000000    0.000000    0.000000
    4.538087   -3.287969   -3.287969   -3.287969    0.000000    0.000000    0.000000
    4.581723   -3.191857   -3.191857   -3.191857    0.000000    0.000000    0.000000
    4.625358   -3.074042   -3.074042   -3.074042    0.000000    0.000000    0.000000
    4.668994   -2.945955   -2.945955   -2.945955    0.000000    0.000000    0.000000
    4.712629   -2.816168   -2.816168   -2.816168    0.000000    0.000000    0.000000
    4.756265   -2.691901   -2.691901   -2.691901    0.000000    0.000000    0.000000
    4.799900   -2.581160   -2.581160   -2.581160    0.000000    0.000000    0.000000
    4.843536   -2.493690   -2.493690   -2.493690    0.000000    0.000000    0.000000
    4.887171   -2.439705   -2.439705   -2.439705    0.000000    0.000000    0.000000
    4.930806   -2.426697   -2.426697   -2.426697    0.000000    0.000000    0.000000
    4.974442   -2.455968   -2.455968   -2.455968    0.000000    0.000000    0.000000
    5.018077   -2.520700   -2.520700   -2.520700    0.000000    0.000000    0.000000
    5.061713   -2.606627   -2.606627   -2.606627    0.000000    0.000000    0.000000
    5.105348   -2.695121   -2.695121   -2.695121    0.000000    0.000000    0.000000
    5.148984   -2.767367   -2.767367   -2.767367   -0.000000    0.000000    0.000000
    5.192619   -2.808109   -2.808109   -2.808109   -0.000000    0.000000    0.000000
    5.236255   -2.807809   -2.807809   -2.807809   -0.000000    0.000000    0.000000
    5.279890   -2.763092   -2.763092   -2.763092   -0.000000    0.000000    0.000000
    5.323526   -2.675910   -2.675910   -2.675910   -0.000000    0.000000    0.000000
    5.367161   -2.552179   -2.552179   -2.552179   -0.000000    0.000000    0.000000
    5.410796   -2.400443   -2.400443   -2.400443   -0.000000    0.000000    0.000000
    5.454432   -2.230833   -2.230833   -2.230833   -0.000000   -0.000000    0.000000
    5.498067   -2.054292   -2.054292   -2.054292   -0.000000   -0.000000    0.000000
    5.541703   -1.882060   -1.882060   -1.882060   -0.000000   -0.000000    0.000000
    5.585338   -1.725188   -1.725188   -1.725188   -0.000000   -0.000000   -0.000000
    5.628974   -1.593974   -1.593974   -1.593974   -0.000000    0.000000   -0.000000
    5.672609   -1.497195   -1.497195   -1.497195   -0.000000    0.000000   -0.000000
    5.716245   -1.441007   -1.441007   -1.441007   -0.000000    0.000000   -0.000000
    5.759880   -1.427696   -1.427696   -1.427696   -0.000000    0.000000    0.000000
    5.803516   -1.454572   -1.454572   -1.454572   -0.000000   -0.000000    0.000000
    5.847151   -1.513643   -1.513643   -1.513643   -0.000000   -0.000000    0.000000
    5.890786   -1.592599   -1.592599   -1.592599   -0.000000   -0.000000    0.000000
    5.934422   -1.677163   -1.677163   -1.677163   -0.000000    0.000000    0.000000
    5.978057   -1.754386   -1.754386   -1.754386   -0.000000    0.000000    0.000000
    6.021693   -1.815591   -1.815591   -1.815591   -0.000000    0.000000    0.000000
    6.065328   -1.857815   -1.857815   -1.857815   -0.000000    0.000000    0.000000
    6.108964   -1.883157   -1.883157   -1.883157   -0.000000    0.000000    0.000000
    6.152599   -1.896357   -1.896357   -1.896357   -0.000000    0.000000    0.000000
    6.196235   -1.901885   -1.901885   -1.901885   -0.000000   -0.000000    0.000000
    6.239870   -1.901904   -1.901904   -1.901904   -0.000000   -0.000000    0.000000
    6.283506   -1.895819   -1.895819   -1.895819   -0.000000   -0.000000    0.000000
    6.327141   -1.881279   -1.881279   -1.881279   -0.000000   -0.000000    0.000000
    6.370776   -1.855725   -1.855725   -1.855725   -0.000000   -0.000000    0.000000
    6.414412   -1.817600   -1.817600   -1.817600   -0.000000   -0.000000    0.000000
    6.458047   -1.766799   -1.766799   -1.766799   -0.000000   -0.000000    0.000000
    6.501683   -1.704556   -1.704556   -1.704556   -0.000000    0.000000    0.000000
    6.545318   -1.633140   -1.633140   -1.633140   -0.000000    0.000000    0.000000
    6.588954   -1.555659   -1.555659   -1.555659   -0.000000    0.000000    0.000000
    6.632589   -1.475971   -1.475971   -1.475971   -0.000000    0.000000    0.000000
    6.676225   -1.398405   -1.398405   -1.398405   -0.000000    0.000000    0.000000
    6.719860   -1.327218   -1.327218   -1.327218   -0.000000    0.000000    0.000000
    6.763496   -1.265880   -1.265880   -1.265880   -0.000000    0.000000    0.000000
    6.807131   -1.216488   -1.216488   -1.216488   -0.000000    0.000000    0.000000
    6.850766   -1.179657   -1.179657   -1.179657   -0.000000    0.000000    0.000000
    6.894402   -1.154840   -1.154840   -1.154840    0.000000    0.000000    0.000000
    6.938037   -1.140906   -1.140906   -1.140906    0.000000    0.000000    0.000000
    6.981673   -1.136503   -1.136503   -1.136503    0.000000    0.000000    0.000000
    7.025308   -1.139985   -1.139985   -1.139985    0.000000    0.000000    0.000000
    7.068944   -1.149046   -1.149046   -1.149046    0.000000    0.000000    0.000000
    7.112579   -1.160321   -1.160321   -1.160321    0.000000    0.000000    0.000000
    7.156215   -1.169325   -1.169325   -1.169325    0.000000    0.000000    0.000000
    7.199850   -1.170893   -1.170893   -1.170893   -0.000000    0.000000    0.000000
    7.243486   -1.159993   -1.159993   -1.159993   -0.000000    0.000000    0.000000
    7.287121   -1.132775   -1.132775   -1.132775   -0.000000    0.000000    0.000000
    7.330756   -1.087401   -1.087401   -1.087401   -0.000000    0.000000    0.000000
    7.374392   -1.024438   -1.024438   -1.024438   -0.000000    0.000000    0.000000
    7.418027   -0.946532   -0.946532   -0.946532   -0.000000    0.000000    0.000000
    7.461663   -0.857525   -0.857525   -0.857525   -0.000000   -0.000000    0.000000
    7.505298   -0.761378   -0.761378   -0.761378   -0.000000   -0.000000    0.000000
    7.548934   -0.661427   -0.661427   -0.661427   -0.000000   -0.000000    0.000000
    7.592569   -0.560334   -0.560334   -0.560334   -0.000000   -0.000000    0.000000
    7.636205   -0.460626   -0.460626   -0.460626   -0.000000   -0.000000    0.000000
    7.679840   -0.365316   -0.365316   -0.365316   -0.000000   -0.000000    0.000000
    7.723476   -0.278123   -0.278123   -0.278123   -0.000000   -0.000000    0.000000
    7.767111   -0.202940   -0.202940   -0.202940   -0.000000   -0.000000    0.000000
    7.810747   -0.142764   -0.142764   -0.142764   -0.000000   -0.000000    0.000000
    7.854382   -0.098590   -0.098590   -0.098590   -0.000000    0.000000    0.000000
    7.898017   -0.068817   -0.068817   -0.068817   -0.000000    0.000000    0.000000
    7.941653   -0.049520   -0.049520   -0.049520   -0.000000    0.000000    0.000000
    7.985288   -0.035485   -0.035485   -0.035485   -0.000000    0.000000    0.000000
    8.028924   -0.021658   -0.021658   -0.021658   -0.000000    0.000000    0.000000
    8.072559   -0.004396   -0.004396   -0.004396   -0.000000    0.000000    0.000000
    8.116195    0.017879    0.017879    0.017879   -0.000000    0.000000    0.000000
    8.159830    0.044831    0.044831    0.044831   -0.000000    0.000000    0.000000
    8.203466    0.074985    0.074985    0.074985   -0.000000    0.000000    0.000000
    8.247101    0.106696    0.106696    0.106696   -0.000000   -0.000000    0.000000
    8.290737    0.138914    0.138914    0.138914   -0.000000    0.000000    0.000000
    8.334372    0.171452    0.171452    0.171452   -0.000000    0.000000    0.000000
    8.378007    0.204721    0.204721    0.204721   -0.000000    0.000000    0.000000
    8.421643    0.239180    0.239180    0.239180   -0.000000   -0.000000    0.000000
    8.465278    0.274651    0.274651    0.274651   -0.000000   -0.000000    0.000000
    8.508914    0.309803    0.309803    0.309803   -0.000000   -0.000000    0.000000
    8.552549    0.341961    0.341961    0.341961   -0.000000    0.000000    0.000000
    8.596185    0.367443    0.367443    0.367443   -0.000000    0.000000    0.000000
    8.639820    0.382407    0.382407    0.382407   -0.000000    0.000000    0.000000
    8.683456    0.384082    0.384082    0.384082   -0.000000    0.000000    0.000000
    8.727091    0.371916    0.371916    0.371916   -0.000000    0.000000    0.000000
    8.770727    0.348118    0.348118    0.348118   -0.000000    0.000000    0.000000
    8.814362    0.317221    0.317221    0.317221   -0.000000    0.000000    0.000000
    8.857997    0.284719    0.284719    0.284719   -0.000000    0.000000    0.000000
    8.901633    0.255273    0.255273    0.255273   -0.000000    0.000000    0.000000
    8.945268    0.231230    0.231230    0.231230   -0.000000    0.000000    0.000000
    8.988904    0.212058    0.212058    0.212058   -0.000000    0.000000    0.000000
    9.032539    0.194883    0.194883    0.194883   -0.000000    0.000000    0.000000
    9.076175    0.175782    0.175782    0.175782   -0.000000    0.000000    0.000000
    9.119810    0.151260    0.151260    0.151260   -0.000000    0.000000    0.000000
    9.163446    0.119282    0.119282    0.119282   -0.000000   -0.000000    0.000000
    9.207081    0.079578    0.079578    0.079578   -0.000000   -0.000000    0.000000
    9.250717    0.033260    0.033260    0.033260   -0.000000   -0.000000    0.000000
    9.294352   -0.017954   -0.017954   -0.017954   -0.000000   -0.000000    0.000000
    9.337987   -0.072543   -0.072543   -0.072543    0.000000   -0.000000    0.000000
    9.381623   -0.129686   -0.129686   -0.129686    0.000000    0.000000    0.000000
    9.425258   -0.189301   -0.189301   -0.189301    0.000000    0.000000    0.000000
