# E(eV)    s-DOS    p-DOS    d-DOS    Total
-13.881936 0.000000 0.000000 0.000000 0.000000
-13.595936 0.000000 0.000000 0.000000 0.000000
-13.308936 0.000000 0.000000 0.000000 0.000000
-13.022936 0.000000 0.000000 0.000000 0.000000
-12.736936 0.000000 0.000000 0.000000 0.000000
-12.449936 0.000000 0.000000 0.000000 0.000000
-12.163936 0.000000 0.000000 0.000000 0.000000
-11.876936 0.000000 0.000000 0.000000 0.000000
-11.590936 0.000000 0.000000 0.000000 0.000000
-11.304936 0.000000 0.000000 0.000000 0.000000
-11.017936 0.000000 0.000000 0.000000 0.000000
-10.731936 0.000000 0.000000 0.000000 0.000000
-10.444936 0.000000 0.000000 0.000000 0.000000
-10.158936 0.000007 0.000000 0.000000 0.000007
-9.871936 0.006242 0.000052 0.000001 0.006296
-9.585936 0.027290 0.000646 0.000045 0.027981
-9.299936 0.040640 0.001863 0.000256 0.042759
-9.012936 0.051370 0.003554 0.000810 0.055734
-8.726936 0.060220 0.005576 0.001943 0.067739
-8.439936 0.068820 0.007960 0.004069 0.080849
-8.153936 0.080610 0.011190 0.008264 0.100064
-7.867936 0.093790 0.015170 0.016840 0.125800
-7.580936 0.111700 0.020070 0.038250 0.170020
-7.294936 0.167500 0.027740 0.170700 0.365940
-7.007936 0.204300 0.037350 0.380500 0.622150
-6.721936 0.225600 0.053230 0.793300 1.072130
-6.435936 0.191000 0.059280 1.274000 1.524280
-6.148936 0.116500 0.058020 1.275000 1.449520
-5.862936 0.056740 0.061140 1.157000 1.274880
-5.575936 0.018060 0.069290 1.084000 1.171350
-5.289936 0.019620 0.090850 1.486000 1.596470
-5.002936 0.027550 0.079890 1.640000 1.747440
-4.716936 0.041510 0.096000 1.785000 1.922510
-4.430936 0.049910 0.124100 2.427000 2.601010
-4.143936 0.039490 0.105700 2.001000 2.146190
-3.857936 0.029260 0.086860 1.383000 1.499120
-3.570936 0.021870 0.072140 1.470000 1.564010
-3.284936 0.023290 0.064800 1.814000 1.902090
-2.998936 0.021190 0.055960 1.676000 1.753150
-2.711936 0.014720 0.041620 1.472000 1.528340
-2.425936 0.013810 0.033420 1.503000 1.550230
-2.138936 0.015200 0.028210 1.974000 2.017410
-1.852936 0.019000 0.022770 2.342000 2.383770
-1.566936 0.023690 0.023180 0.847600 0.894470
-1.279936 0.026420 0.026630 0.201500 0.254550
-0.993936 0.030120 0.033040 0.174300 0.237460
-0.706936 0.035470 0.044910 0.170300 0.250680
-0.420936 0.038290 0.044620 0.156900 0.239810
-0.133936 0.043940 0.055180 0.157600 0.256720
0.152064 0.045390 0.055720 0.137100 0.238210
0.438064 0.042690 0.057410 0.118900 0.219000
0.725064 0.050940 0.062480 0.122200 0.235620
1.011064 0.050120 0.065410 0.106900 0.222430
1.298064 0.050750 0.072890 0.102000 0.225640
1.584064 0.054740 0.065340 0.093570 0.213650
1.870064 0.056220 0.075210 0.090930 0.222360
2.157064 0.054700 0.059060 0.074080 0.187840
2.443064 0.058460 0.062160 0.070340 0.190960
2.730064 0.065260 0.060280 0.067640 0.193180
3.016064 0.099510 0.051810 0.077720 0.229040
3.302064 0.185200 0.056170 0.122900 0.364270
3.589064 0.127500 0.058120 0.081110 0.266730
3.875064 0.106100 0.054360 0.067180 0.227640
4.162064 0.092890 0.069830 0.068120 0.230840
4.448064 0.072320 0.064140 0.053100 0.189560
4.734064 0.082440 0.087180 0.063350 0.232970
5.021064 0.080200 0.091590 0.059940 0.231730
5.307064 0.105600 0.101700 0.069330 0.276630
5.594064 0.097970 0.101400 0.061650 0.261020
5.880064 0.114100 0.100900 0.065530 0.280530
6.167064 0.087380 0.098890 0.055260 0.241530
6.453064 0.081460 0.082120 0.045880 0.209460
6.739064 0.073390 0.085000 0.043000 0.201390
7.026064 0.078380 0.089450 0.044780 0.212610
7.312064 0.072480 0.099140 0.051060 0.222680
7.599064 0.072480 0.118400 0.064070 0.254950
7.885064 0.066460 0.113500 0.054120 0.234080
8.171064 0.062570 0.127800 0.065390 0.255760
8.458064 0.059020 0.141300 0.068730 0.269050
8.744064 0.038410 0.110200 0.049510 0.198120
9.031064 0.060520 0.161200 0.072460 0.294180
9.317064 0.035830 0.130100 0.062130 0.228060
9.603064 0.046290 0.150100 0.060010 0.256400
9.890064 0.029700 0.158800 0.080300 0.268800
10.176064 0.042830 0.204500 0.087240 0.334570
10.463064 0.026660 0.190900 0.080120 0.297680
10.749064 0.034560 0.209600 0.085680 0.329840
11.036064 0.028650 0.211300 0.092630 0.332580
11.322064 0.026090 0.196900 0.082160 0.305150
11.608064 0.024620 0.202300 0.088520 0.315440
11.895064 0.025510 0.191800 0.085970 0.303280
12.181064 0.020440 0.211500 0.095860 0.327800
12.468064 0.022520 0.177100 0.080540 0.280160
12.754064 0.017240 0.198600 0.092470 0.308310
13.040064 0.021020 0.194500 0.089590 0.305110
13.327064 0.015310 0.170600 0.085730 0.271640
13.613064 0.014370 0.171200 0.081690 0.267260
13.900064 0.016310 0.192900 0.094460 0.303670
14.186064 0.012500 0.147100 0.078240 0.237840
14.472064 0.013030 0.168400 0.092400 0.273830
14.759064 0.008470 0.158100 0.079320 0.245890
15.045064 0.012760 0.143500 0.089500 0.245760
15.332064 0.009796 0.128200 0.077810 0.215806
15.618064 0.007143 0.118700 0.065640 0.191483
15.905064 0.007022 0.111900 0.065630 0.184552
16.191064 0.010860 0.117500 0.076940 0.205300
16.477064 0.007826 0.093810 0.051840 0.153476
16.764064 0.008532 0.114500 0.046800 0.169832
17.050064 0.013760 0.127000 0.059610 0.200370
17.337064 0.021820 0.179300 0.075600 0.276720
17.623064 0.030080 0.199000 0.108500 0.337580
17.909064 0.034610 0.202800 0.131400 0.368810
18.196064 0.033260 0.172900 0.133200 0.339360
18.482064 0.020830 0.193800 0.104300 0.318930
18.769064 0.021280 0.181100 0.104600 0.306980
19.055064 0.011690 0.141100 0.083740 0.236530
19.341064 0.014040 0.152400 0.089350 0.255790
19.628064 0.014650 0.127600 0.098310 0.240560
19.914064 0.008507 0.113900 0.111000 0.233407
20.201064 0.010260 0.105100 0.109000 0.224360
20.487064 0.012390 0.105600 0.095970 0.213960
20.773064 0.008430 0.074980 0.078440 0.161850
21.060064 0.010310 0.074510 0.052380 0.137200
21.346064 0.013900 0.085070 0.078320 0.177290
21.633064 0.004725 0.055640 0.032770 0.093135
21.919064 0.014190 0.105300 0.072680 0.192170
22.206064 0.013520 0.120600 0.053480 0.187600
22.492064 0.005649 0.095420 0.043620 0.144689
22.778064 0.013190 0.084870 0.074490 0.172550
23.065064 0.004899 0.057460 0.050400 0.112759
23.351064 0.003477 0.041270 0.057810 0.102557
23.638064 0.011210 0.060310 0.104200 0.175720
23.924064 0.004101 0.047640 0.106400 0.158141
24.210064 0.004635 0.050120 0.131500 0.186255
24.497064 0.010480 0.048560 0.163700 0.222740
24.783064 0.007540 0.058320 0.220000 0.285860
25.070064 0.006509 0.041370 0.230500 0.278379
25.356064 0.010850 0.049640 0.199900 0.260390
25.642064 0.009609 0.059050 0.184500 0.253159
25.929064 0.014850 0.057950 0.190500 0.263300
26.215064 0.022800 0.056230 0.214900 0.293930
26.502064 0.031830 0.066180 0.244000 0.342010
26.788064 0.019870 0.042390 0.186700 0.248960
27.075064 0.020690 0.043660 0.200500 0.264850
27.361064 0.022740 0.051120 0.182500 0.256360
27.647064 0.017520 0.037840 0.147400 0.202760
