# E(eV)    s-DOS    p-DOS    d-DOS    Total
-13.933513 0.000000 0.000000 0.000000 0.000000
-13.646513 0.000000 0.000000 0.000000 0.000000
-13.360513 0.000000 0.000000 0.000000 0.000000
-13.073513 0.000000 0.000000 0.000000 0.000000
-12.787513 0.000000 0.000000 0.000000 0.000000
-12.501513 0.000000 0.000000 0.000000 0.000000
-12.214513 0.000000 0.000000 0.000000 0.000000
-11.928513 0.000000 0.000000 0.000000 0.000000
-11.641513 0.000000 0.000000 0.000000 0.000000
-11.355513 0.000000 0.000000 0.000000 0.000000
-11.068513 0.000000 0.000000 0.000000 0.000000
-10.782513 0.000000 0.000000 0.000000 0.000000
-10.495513 0.000000 0.000000 0.000000 0.000000
-10.209513 0.000007 0.000000 0.000000 0.000007
-9.923513 0.006286 0.000053 0.000002 0.006341
-9.636513 0.027520 0.000660 0.000048 0.028228
-9.350513 0.041030 0.001906 0.000275 0.043211
-9.063513 0.051930 0.003641 0.000877 0.056448
-8.777513 0.060980 0.005726 0.002132 0.068838
-8.490513 0.069880 0.008198 0.004556 0.082634
-8.204513 0.082040 0.011540 0.009469 0.103049
-7.917513 0.096880 0.015830 0.020260 0.132970
-7.631513 0.121900 0.021540 0.057660 0.201100
-7.345513 0.189500 0.030250 0.258900 0.478650
-7.058513 0.216200 0.042560 0.564700 0.823460
-6.772513 0.226400 0.059140 1.206000 1.491540
-6.485513 0.153300 0.059360 1.492000 1.704660
-6.199513 0.078370 0.061810 1.412000 1.552180
-5.912513 0.021780 0.059860 1.177000 1.258640
-5.626513 0.022030 0.093610 2.154000 2.269640
-5.339513 0.014760 0.031320 1.842000 1.888080
-5.053513 0.058830 0.093440 1.644000 1.796270
-4.767513 0.071570 0.135700 1.084000 1.291270
-4.480513 0.054490 0.136700 0.917100 1.108290
-4.194513 0.031840 0.078530 0.995900 1.106270
-3.907513 0.021460 0.049590 1.142000 1.213050
-3.621513 0.026390 0.091430 1.807000 1.924820
-3.334513 0.023090 0.075020 1.768000 1.866110
-3.048513 0.027070 0.062180 1.897000 1.986250
-2.761513 0.018700 0.043860 1.555000 1.617560
-2.475513 0.016530 0.032960 1.529000 1.578490
-2.189513 0.019650 0.030600 1.671000 1.721250
-1.902513 0.026680 0.038180 2.138000 2.202860
-1.616513 0.019640 0.028650 1.110000 1.158290
-1.329513 0.022450 0.029620 0.475000 0.527070
-1.043513 0.027640 0.032090 0.270500 0.330230
-0.756513 0.032490 0.042040 0.208500 0.283030
-0.470513 0.036900 0.043900 0.186000 0.266800
-0.184513 0.040890 0.054410 0.173700 0.269000
0.102487 0.040980 0.053530 0.145200 0.239710
0.388487 0.043350 0.060480 0.138800 0.242630
0.675487 0.050390 0.063840 0.133800 0.248030
0.961487 0.047910 0.066820 0.115200 0.229930
1.248487 0.049650 0.072430 0.109400 0.231480
1.534487 0.054590 0.068330 0.101600 0.224520
1.821487 0.054400 0.072940 0.094940 0.222280
2.107487 0.054750 0.066500 0.081840 0.203090
2.393487 0.056870 0.056970 0.071280 0.185120
2.680487 0.063700 0.064350 0.071310 0.199360
2.966487 0.084970 0.050880 0.071580 0.207430
3.253487 0.190900 0.061170 0.135700 0.387770
3.539487 0.133500 0.058190 0.088570 0.280260
3.826487 0.108300 0.061410 0.073720 0.243430
4.112487 0.086160 0.063940 0.066430 0.216530
4.399487 0.070180 0.068100 0.056830 0.195110
4.685487 0.085410 0.088420 0.066450 0.240280
4.971487 0.088550 0.095600 0.063700 0.247850
5.258487 0.113900 0.102700 0.073120 0.289720
5.544487 0.109400 0.106800 0.068130 0.284330
5.831487 0.119800 0.103300 0.067730 0.290830
6.117487 0.092150 0.090930 0.054190 0.237270
6.404487 0.088490 0.089430 0.050340 0.228260
6.690487 0.066520 0.068800 0.035690 0.171010
6.977487 0.081370 0.091770 0.045950 0.219090
7.263487 0.066500 0.099780 0.049440 0.215720
7.549487 0.076870 0.131000 0.068260 0.276130
7.836487 0.060620 0.114600 0.055620 0.230840
8.122487 0.061670 0.144100 0.071260 0.277030
8.409487 0.049600 0.130900 0.063700 0.244200
8.695487 0.054160 0.146100 0.058540 0.258800
8.982487 0.042670 0.151000 0.071460 0.265130
9.268487 0.050330 0.170100 0.066100 0.286530
9.555487 0.026870 0.131300 0.048320 0.206490
9.841487 0.050440 0.190800 0.087100 0.328340
10.127487 0.024240 0.136100 0.067930 0.228270
10.414487 0.036120 0.176400 0.082220 0.294740
10.700487 0.027560 0.187900 0.082920 0.298380
10.987487 0.031720 0.223000 0.090410 0.345130
11.273487 0.023010 0.195700 0.080420 0.299130
11.560487 0.026380 0.214700 0.090300 0.331380
11.846487 0.024660 0.194000 0.087190 0.305850
12.133487 0.018320 0.196900 0.086780 0.302000
12.419487 0.023550 0.189900 0.083260 0.296710
12.705487 0.016450 0.191100 0.092370 0.299920
12.992487 0.019340 0.182200 0.080620 0.282160
13.278487 0.015790 0.193000 0.092470 0.301260
13.565487 0.016560 0.163200 0.081150 0.260910
13.851487 0.012550 0.185500 0.089750 0.287800
14.138487 0.014280 0.153800 0.075410 0.243490
14.424487 0.013130 0.174500 0.096840 0.284470
14.711487 0.010730 0.160000 0.084750 0.255480
14.997487 0.007556 0.128300 0.070040 0.205896
15.283487 0.012760 0.131700 0.086600 0.231060
15.570487 0.008949 0.140100 0.077620 0.226669
15.856487 0.006438 0.117100 0.058230 0.181768
16.143487 0.009834 0.119600 0.075530 0.204964
16.429487 0.007793 0.103200 0.054140 0.165133
16.716487 0.007384 0.096780 0.039370 0.143534
17.002487 0.012340 0.120300 0.063800 0.196440
17.288487 0.021780 0.138700 0.075910 0.236390
17.575487 0.028940 0.176500 0.108100 0.313540
17.861487 0.034630 0.202400 0.135900 0.372930
18.148487 0.033500 0.200200 0.136800 0.370500
18.434487 0.019520 0.182700 0.101400 0.303620
18.721487 0.023000 0.185000 0.107400 0.315400
19.007487 0.011860 0.133800 0.081290 0.226950
19.294487 0.012200 0.134500 0.088520 0.235220
19.580487 0.014490 0.126200 0.096120 0.236810
19.866487 0.009801 0.117800 0.115300 0.242901
20.153487 0.009510 0.100200 0.107800 0.217510
20.439487 0.012930 0.112600 0.099230 0.224760
20.726487 0.008393 0.072790 0.078810 0.159993
21.012487 0.009248 0.073070 0.052280 0.134598
21.299487 0.014610 0.085570 0.079670 0.179850
21.585487 0.004808 0.047690 0.031250 0.083748
21.872487 0.012840 0.091180 0.070460 0.174480
22.158487 0.013800 0.123700 0.061200 0.198700
22.444487 0.006356 0.093770 0.045770 0.145896
22.731487 0.013190 0.092580 0.077080 0.182850
23.017487 0.005287 0.057810 0.053220 0.116317
23.304487 0.003180 0.039600 0.057980 0.100760
23.590487 0.011080 0.059660 0.104600 0.175340
23.877487 0.004438 0.049490 0.110600 0.164528
24.163487 0.004677 0.048110 0.134500 0.187287
24.450487 0.010720 0.050000 0.179000 0.239720
24.736487 0.007648 0.053580 0.230800 0.292028
25.022487 0.006260 0.042200 0.186800 0.235260
25.309487 0.011030 0.048550 0.195600 0.255180
25.595487 0.009899 0.056210 0.186200 0.252309
25.882487 0.014770 0.055270 0.190400 0.260440
26.168487 0.024080 0.060280 0.223500 0.307860
26.455487 0.031300 0.059150 0.242600 0.333050
26.741487 0.019860 0.050500 0.187600 0.257960
27.028487 0.020630 0.043840 0.207000 0.271470
27.314487 0.022350 0.045600 0.181600 0.249550
27.600487 0.017660 0.041500 0.150400 0.209560
27.887487 0.019990 0.041890 0.166000 0.227880
28.173487 0.021870 0.045880 0.176800 0.244550
28.460487 0.037660 0.049550 0.212700 0.299910
28.746487 0.049300 0.056820 0.174000 0.280120
29.033487 0.049970 0.046590 0.149000 0.245560
29.319487 0.056630 0.053730 0.128400 0.238760
29.606487 0.042230 0.046880 0.106900 0.196010
29.892487 0.029260 0.055700 0.086970 0.171930
30.178487 0.022990 0.048310 0.075240 0.146540
30.465487 0.031570 0.073750 0.093000 0.198320
30.751487 0.034170 0.077720 0.078930 0.190820
31.038487 0.034170 0.080050 0.092710 0.206930
31.324487 0.041940 0.085670 0.107800 0.235410
31.611487 0.040280 0.087870 0.110400 0.238550
31.897487 0.034540 0.079910 0.103600 0.218050
32.184487 0.033360 0.086640 0.110000 0.230000
32.470487 0.030480 0.096570 0.121700 0.248750
32.756487 0.024590 0.088760 0.120000 0.233350
33.043487 0.028160 0.124900 0.144300 0.297360
33.329487 0.023870 0.128900 0.154600 0.307370
33.616487 0.021180 0.120500 0.138500 0.280180
33.902487 0.021460 0.155300 0.170200 0.346960
34.189487 0.021060 0.135600 0.170500 0.327160
34.475487 0.017030 0.145100 0.144100 0.306230
34.761487 0.021050 0.184200 0.167800 0.373050
35.048487 0.021150 0.165700 0.167800 0.354650
35.334487 0.023260 0.179700 0.159900 0.362860
35.621487 0.020330 0.144400 0.136100 0.300830
35.907487 0.018430 0.151200 0.126600 0.296230
36.194487 0.017290 0.184800 0.127000 0.329090
36.480487 0.012630 0.157900 0.106700 0.277230
36.767487 0.009002 0.147000 0.098110 0.254112
37.053487 0.011920 0.218300 0.122500 0.352720
37.339487 0.012090 0.278300 0.138900 0.429290
37.626487 0.008463 0.259300 0.105700 0.373463
37.912487 0.007796 0.276900 0.112700 0.397396
38.199487 0.006217 0.236900 0.085760 0.328877
38.485487 0.006819 0.277000 0.097760 0.381579
38.772487 0.009895 0.286900 0.094520 0.391315
39.058487 0.011430 0.270200 0.090050 0.371680
39.345487 0.013390 0.387200 0.092810 0.493400
39.631487 0.012530 0.514400 0.091160 0.618090
39.917487 0.012720 0.644300 0.101300 0.758320
40.204487 0.014670 0.827200 0.103600 0.945470
40.490487 0.022470 0.983500 0.092090 1.098060
40.777487 0.043270 1.263000 0.076740 1.383010
41.063487 0.016280 1.324000 0.066280 1.406560
41.350487 0.004541 1.185000 0.064800 1.254341
41.636487 0.004514 1.023000 0.061370 1.088884
41.923487 0.015840 1.268000 0.071450 1.355290
42.209487 0.028280 1.092000 0.084380 1.204660
42.495487 0.016990 0.633700 0.055530 0.706220
42.782487 0.013620 0.524800 0.052550 0.590970
43.068487 0.009715 0.515700 0.065310 0.590725
43.355487 0.011300 0.661100 0.098900 0.771300
43.641487 0.012110 0.663800 0.110400 0.786310
43.928487 0.012400 0.706400 0.141300 0.860100
44.214487 0.022200 0.767400 0.173700 0.963300
44.501487 0.018830 0.484700 0.159900 0.663430
44.787487 0.016390 0.324600 0.157600 0.498590
45.073487 0.013950 0.440100 0.217600 0.671650
45.360487 0.008617 0.302300 0.171500 0.482417
45.646487 0.008704 0.158000 0.115400 0.282104
45.933487 0.010210 0.132400 0.105500 0.248110
46.219487 0.011110 0.156200 0.130400 0.297710
46.506487 0.015430 0.149900 0.143500 0.308830
46.792487 0.014640 0.133300 0.160800 0.308740
47.079487 0.020630 0.151100 0.195700 0.367430
47.365487 0.021850 0.143100 0.202400 0.367350
47.651487 0.019570 0.135800 0.208600 0.363970
47.938487 0.017110 0.121900 0.197100 0.336110
48.224487 0.018230 0.105600 0.137500 0.261330
48.511487 0.022250 0.095420 0.127200 0.244870
48.797487 0.023390 0.093600 0.115800 0.232790
49.084487 0.023360 0.083490 0.121000 0.227850
49.370487 0.019820 0.077580 0.141600 0.239000
49.657487 0.019900 0.099990 0.212100 0.331990
49.943487 0.024880 0.094900 0.216800 0.336580
50.229487 0.022450 0.101700 0.207100 0.331250
50.516487 0.015260 0.083470 0.175900 0.274630
50.802487 0.021630 0.061520 0.135800 0.218950
51.089487 0.031800 0.049980 0.123800 0.205580
51.375487 0.045360 0.073210 0.154400 0.272970
51.662487 0.034580 0.056820 0.105500 0.196900
51.948487 0.045760 0.049700 0.097350 0.192810
52.234487 0.046770 0.054210 0.105000 0.205980
52.521487 0.052720 0.054010 0.123600 0.230330
52.807487 0.069310 0.063520 0.133700 0.266530
53.094487 0.047580 0.046220 0.123300 0.217100
53.380487 0.046990 0.044220 0.130500 0.221710
53.667487 0.057260 0.053530 0.147400 0.258190
53.953487 0.061330 0.051130 0.136100 0.248560
54.240487 0.054470 0.038460 0.132400 0.225330
54.526487 0.067490 0.048720 0.166200 0.282410
54.812487 0.077470 0.049760 0.150800 0.278030
55.099487 0.074870 0.050020 0.167800 0.292690
55.385487 0.070240 0.051220 0.155200 0.276660
55.672487 0.090360 0.053410 0.188600 0.332370
55.958487 0.086850 0.062190 0.200600 0.349640
56.245487 0.093900 0.059890 0.210900 0.364690
56.531487 0.126200 0.057720 0.171700 0.355620
56.818487 0.159800 0.061970 0.179800 0.401570
57.104487 0.144800 0.044550 0.140100 0.329450
57.390487 0.180000 0.046570 0.120800 0.347370
57.677487 0.198600 0.045820 0.123900 0.368320
57.963487 0.174500 0.044200 0.108300 0.327000
58.250487 0.173800 0.039720 0.102300 0.315820
58.536487 0.183900 0.047750 0.114200 0.345850
58.823487 0.332200 0.049950 0.106500 0.488650
59.109487 0.393400 0.041980 0.097680 0.533060
59.396487 0.249300 0.023790 0.061410 0.334500
59.682487 0.132700 0.019890 0.049160 0.201750
59.968487 0.143300 0.018640 0.046680 0.208620
60.255487 0.161900 0.021680 0.055740 0.239320
60.541487 0.136000 0.021940 0.052490 0.210430
60.828487 0.112000 0.025500 0.048130 0.185630
61.114487 0.066720 0.014020 0.029090 0.109830
61.401487 0.029110 0.003934 0.010860 0.043904
61.687487 0.023620 0.004322 0.009810 0.037752
61.974487 0.018240 0.001673 0.004415 0.024328
62.260487 0.010330 0.001306 0.004675 0.016311
62.546487 0.013320 0.002897 0.006511 0.022728
62.833487 0.019380 0.002087 0.006692 0.028159
63.119487 0.009589 0.000962 0.005328 0.015879
63.406487 0.010550 0.003072 0.007811 0.021433
63.692487 0.006218 0.002288 0.005223 0.013729
63.979487 0.003389 0.001522 0.002896 0.007807
64.265487 0.000443 0.000828 0.001422 0.002692
64.552487 0.001036 0.001672 0.003346 0.006054
64.838487 0.000019 0.000237 0.000381 0.000637
65.124487 0.000006 0.000030 0.000063 0.000099
65.411487 0.000168 0.000441 0.001034 0.001642
65.697487 0.000237 0.000390 0.001053 0.001681
65.984487 0.000000 0.000000 0.000000 0.000000
66.270487 0.000021 0.000097 0.000287 0.000404
66.557487 0.000118 0.000373 0.001193 0.001685
66.843487 0.000001 0.000004 0.000012 0.000017
67.130487 0.000001 0.000006 0.000027 0.000034
67.416487 0.000031 0.000182 0.000828 0.001041
67.702487 0.000000 0.000003 0.000013 0.000016
67.989487 0.000000 0.000004 0.000035 0.000039
68.275487 0.000003 0.000031 0.000309 0.000343
68.562487 0.000000 0.000000 0.000001 0.000001
68.848487 0.000000 0.000000 0.000000 0.000000
69.135487 0.000000 0.000000 0.000000 0.000000
69.421487 0.000000 0.000000 0.000000 0.000000
69.707487 0.000000 0.000000 0.000000 0.000000
69.994487 0.000000 0.000000 0.000000 0.000000
70.280487 0.000000 0.000000 0.000000 0.000000
70.567487 0.000000 0.000000 0.000000 0.000000
70.853487 0.000000 0.000000 0.000000 0.000000
71.140487 0.000000 0.000000 0.000000 0.000000
71.426487 0.000000 0.000000 0.000000 0.000000
71.713487 0.000000 0.000000 0.000000 0.000000
71.999487 0.000000 0.000000 0.000000 0.000000
