# E(eV)    s-DOS    p-DOS    d-DOS    Total
-13.933513 0.000000 0.000000 0.000000 0.000000
-13.646513 0.000000 0.000000 0.000000 0.000000
-13.360513 0.000000 0.000000 0.000000 0.000000
-13.073513 0.000000 0.000000 0.000000 0.000000
-12.787513 0.000000 0.000000 0.000000 0.000000
-12.501513 0.000000 0.000000 0.000000 0.000000
-12.214513 0.000000 0.000000 0.000000 0.000000
-11.928513 0.000000 0.000000 0.000000 0.000000
-11.641513 0.000000 0.000000 0.000000 0.000000
-11.355513 0.000000 0.000000 0.000000 0.000000
-11.068513 0.000000 0.000000 0.000000 0.000000
-10.782513 0.000000 0.000000 0.000000 0.000000
-10.495513 0.000000 -0.000000 0.000000 0.000000
-10.209513 0.000000 -0.000000 -0.000000 0.000000
-9.923513 0.000000 -0.000000 -0.000000 0.000000
-9.636513 0.000000 -0.000000 -0.000000 0.000000
-9.350513 -0.000000 -0.000000 -0.000000 -0.000000
-9.063513 -0.000000 -0.000000 0.000000 -0.000000
-8.777513 0.000000 0.000000 -0.000000 0.000000
-8.490513 -0.000000 -0.000000 0.000000 -0.000000
-8.204513 0.000000 0.000000 0.000000 0.000000
-7.917513 0.000000 0.000000 0.000000 0.000000
-7.631513 0.000000 0.000000 0.000000 0.000000
-7.345513 -0.000000 -0.000000 -0.000000 -0.000000
-7.058513 0.000000 -0.000000 -0.000000 -0.000000
-6.772513 0.000000 -0.000000 -0.000000 -0.000000
-6.485513 -0.000000 -0.000000 -0.000000 -0.000000
-6.199513 -0.000000 -0.000000 -0.000000 -0.000000
-5.912513 -0.000000 0.000000 -0.000000 -0.000000
-5.626513 -0.000000 0.000000 -0.000000 -0.000000
-5.339513 -0.000000 -0.000000 0.000000 0.000000
-5.053513 -0.000000 -0.000000 0.000000 -0.000000
-4.767513 0.000000 0.000000 0.000000 0.000000
-4.480513 -0.000000 -0.000000 -0.000000 -0.000000
-4.194513 0.000000 0.000000 0.000000 0.000000
-3.907513 -0.000000 -0.000000 -0.000000 -0.000000
-3.621513 0.000000 0.000000 0.000000 0.000000
-3.334513 0.000000 0.000000 0.000000 0.000000
-3.048513 0.000000 0.000000 -0.000000 -0.000000
-2.761513 -0.000000 -0.000000 -0.000000 -0.000000
-2.475513 0.000000 0.000000 0.000000 0.000000
-2.189513 0.000000 0.000000 -0.000000 -0.000000
-1.902513 0.000000 -0.000000 0.000000 0.000000
-1.616513 -0.000000 -0.000000 0.000000 0.000000
-1.329513 0.000000 0.000000 0.000000 0.000000
-1.043513 0.000000 -0.000000 0.000000 0.000000
-0.756513 -0.000000 -0.000000 -0.000000 -0.000000
-0.470513 0.000000 0.000000 0.000000 0.000000
-0.184513 0.000000 -0.000000 0.000000 -0.000000
0.102487 -0.000000 0.000000 -0.000000 -0.000000
0.388487 -0.000000 -0.000000 -0.000000 -0.000000
0.675487 -0.000000 -0.000000 -0.000000 -0.000000
0.961487 0.000000 0.000000 0.000000 0.000000
1.248487 0.000000 0.000000 -0.000000 0.000000
1.534487 0.000000 0.000000 -0.000000 0.000000
1.821487 0.000000 0.000000 0.000000 0.000000
2.107487 0.000000 0.000000 -0.000000 0.000000
2.393487 0.000000 -0.000000 -0.000000 -0.000000
2.680487 -0.000000 0.000000 0.000000 -0.000000
2.966487 -0.000000 0.000000 -0.000000 -0.000000
3.253487 -0.000000 -0.000000 0.000000 -0.000000
3.539487 -0.000000 -0.000000 0.000000 -0.000000
3.826487 -0.000000 0.000000 0.000000 -0.000000
4.112487 -0.000000 0.000000 -0.000000 0.000000
4.399487 -0.000000 0.000000 -0.000000 -0.000000
4.685487 0.000000 -0.000000 -0.000000 -0.000000
4.971487 -0.000000 -0.000000 -0.000000 -0.000000
5.258487 0.000000 0.000000 -0.000000 -0.000000
5.544487 -0.000000 -0.000000 0.000000 0.000000
5.831487 0.000000 -0.000000 0.000000 0.000000
6.117487 0.000000 -0.000000 -0.000000 -0.000000
6.404487 0.000000 -0.000000 -0.000000 -0.000000
6.690487 -0.000000 0.000000 -0.000000 0.000000
6.977487 0.000000 -0.000000 0.000000 -0.000000
7.263487 -0.000000 -0.000000 0.000000 -0.000000
7.549487 -0.000000 0.000000 -0.000000 -0.000000
7.836487 -0.000000 0.000000 -0.000000 0.000000
8.122487 -0.000000 0.000000 -0.000000 -0.000000
8.409487 -0.000000 -0.000000 0.000000 -0.000000
8.695487 0.000000 -0.000000 -0.000000 -0.000000
8.982487 -0.000000 -0.000000 0.000000 0.000000
9.268487 0.000000 0.000000 0.000000 0.000000
9.555487 0.000000 -0.000000 -0.000000 -0.000000
9.841487 0.000000 0.000000 0.000000 0.000000
10.127487 0.000000 0.000000 -0.000000 -0.000000
10.414487 -0.000000 0.000000 -0.000000 0.000000
10.700487 -0.000000 0.000000 0.000000 0.000000
10.987487 0.000000 -0.000000 0.000000 0.000000
11.273487 -0.000000 -0.000000 -0.000000 -0.000000
11.560487 -0.000000 -0.000000 0.000000 -0.000000
11.846487 0.000000 0.000000 0.000000 0.000000
12.133487 0.000000 0.000000 0.000000 0.000000
12.419487 0.000000 0.000000 0.000000 0.000000
12.705487 0.000000 0.000000 0.000000 0.000000
12.992487 0.000000 0.000000 0.000000 0.000000
13.278487 0.000000 0.000000 0.000000 0.000000
13.565487 0.000000 0.000000 -0.000000 0.000000
13.851487 -0.000000 -0.000000 -0.000000 -0.000000
14.138487 -0.000000 0.000000 0.000000 0.000000
14.424487 -0.000000 -0.000000 -0.000000 -0.000000
14.711487 0.000000 0.000000 -0.000000 -0.000000
14.997487 0.000000 -0.000000 -0.000000 -0.000000
15.283487 -0.000000 0.000000 0.000000 0.000000
15.570487 -0.000000 -0.000000 -0.000000 -0.000000
15.856487 -0.000000 0.000000 0.000000 0.000000
16.143487 0.000000 -0.000000 0.000000 -0.000000
16.429487 0.000000 -0.000000 0.000000 0.000000
16.716487 -0.000000 -0.000000 -0.000000 -0.000000
17.002487 0.000000 -0.000000 -0.000000 -0.000000
17.288487 -0.000000 -0.000000 -0.000000 -0.000000
17.575487 0.000000 -0.000000 -0.000000 -0.000000
17.861487 0.000000 0.000000 -0.000000 0.000000
18.148487 -0.000000 0.000000 0.000000 0.000000
18.434487 -0.000000 0.000000 0.000000 0.000000
18.721487 0.000000 -0.000000 -0.000000 -0.000000
19.007487 -0.000000 0.000000 0.000000 0.000000
19.294487 0.000000 0.000000 0.000000 0.000000
19.580487 0.000000 -0.000000 -0.000000 -0.000000
19.866487 0.000000 0.000000 0.000000 0.000000
20.153487 -0.000000 -0.000000 -0.000000 -0.000000
20.439487 0.000000 -0.000000 0.000000 -0.000000
20.726487 -0.000000 0.000000 0.000000 0.000000
21.012487 0.000000 0.000000 0.000000 0.000000
21.299487 -0.000000 -0.000000 -0.000000 -0.000000
21.585487 0.000000 0.000000 0.000000 0.000000
21.872487 -0.000000 -0.000000 -0.000000 -0.000000
22.158487 0.000000 0.000000 0.000000 0.000000
22.444487 -0.000000 -0.000000 -0.000000 -0.000000
22.731487 -0.000000 -0.000000 -0.000000 -0.000000
23.017487 0.000000 0.000000 -0.000000 -0.000000
23.304487 0.000000 0.000000 0.000000 0.000000
23.590487 0.000000 -0.000000 -0.000000 -0.000000
23.877487 -0.000000 -0.000000 0.000000 0.000000
24.163487 -0.000000 0.000000 0.000000 0.000000
24.450487 -0.000000 0.000000 0.000000 0.000000
24.736487 -0.000000 -0.000000 -0.000000 -0.000000
25.022487 0.000000 0.000000 0.000000 0.000000
25.309487 0.000000 0.000000 -0.000000 0.000000
25.595487 -0.000000 -0.000000 -0.000000 -0.000000
25.882487 0.000000 0.000000 0.000000 0.000000
26.168487 0.000000 0.000000 0.000000 0.000000
26.455487 -0.000000 0.000000 -0.000000 -0.000000
26.741487 -0.000000 -0.000000 -0.000000 -0.000000
27.028487 0.000000 0.000000 0.000000 0.000000
27.314487 0.000000 -0.000000 -0.000000 -0.000000
27.600487 0.000000 -0.000000 0.000000 0.000000
27.887487 0.000000 -0.000000 -0.000000 -0.000000
28.173487 -0.000000 -0.000000 0.000000 -0.000000
28.460487 -0.000000 -0.000000 -0.000000 -0.000000
28.746487 -0.000000 0.000000 0.000000 0.000000
29.033487 0.000000 0.000000 -0.000000 -0.000000
29.319487 0.000000 0.000000 -0.000000 -0.000000
29.606487 -0.000000 0.000000 -0.000000 -0.000000
29.892487 -0.000000 -0.000000 -0.000000 -0.000000
30.178487 0.000000 0.000000 -0.000000 0.000000
30.465487 0.000000 0.000000 0.000000 0.000000
30.751487 0.000000 -0.000000 -0.000000 -0.000000
31.038487 -0.000000 -0.000000 -0.000000 -0.000000
31.324487 -0.000000 0.000000 -0.000000 -0.000000
31.611487 0.000000 0.000000 -0.000000 -0.000000
31.897487 0.000000 0.000000 -0.000000 0.000000
32.184487 0.000000 0.000000 0.000000 0.000000
32.470487 0.000000 -0.000000 0.000000 0.000000
32.756487 0.000000 0.000000 -0.000000 -0.000000
33.043487 0.000000 0.000000 0.000000 0.000000
33.329487 0.000000 0.000000 0.000000 0.000000
33.616487 -0.000000 -0.000000 -0.000000 -0.000000
33.902487 -0.000000 0.000000 0.000000 0.000000
34.189487 -0.000000 0.000000 0.000000 0.000000
34.475487 -0.000000 -0.000000 0.000000 -0.000000
34.761487 -0.000000 0.000000 0.000000 0.000000
35.048487 -0.000000 0.000000 0.000000 0.000000
35.334487 -0.000000 -0.000000 0.000000 0.000000
35.621487 -0.000000 0.000000 0.000000 0.000000
35.907487 0.000000 0.000000 0.000000 0.000000
36.194487 0.000000 0.000000 0.000000 0.000000
36.480487 -0.000000 0.000000 -0.000000 -0.000000
36.767487 -0.000000 -0.000000 -0.000000 -0.000000
37.053487 -0.000000 -0.000000 0.000000 -0.000000
37.339487 -0.000000 0.000000 -0.000000 -0.000000
37.626487 0.000000 0.000000 0.000000 0.000000
37.912487 0.000000 -0.000000 0.000000 0.000000
38.199487 0.000000 -0.000000 0.000000 0.000000
38.485487 0.000000 0.000000 -0.000000 0.000000
38.772487 -0.000000 -0.000000 0.000000 0.000000
39.058487 0.000000 -0.000000 0.000000 0.000000
39.345487 0.000000 0.000000 -0.000000 -0.000000
39.631487 0.000000 0.000000 0.000000 0.000000
39.917487 0.000000 -0.000000 0.000000 0.000000
40.204487 -0.000000 -0.000000 0.000000 -0.000000
40.490487 0.000000 -0.000000 -0.000000 -0.000000
40.777487 -0.000000 0.000000 -0.000000 -0.000000
41.063487 0.000000 0.000000 0.000000 0.000000
41.350487 0.000000 0.000000 0.000000 0.000000
41.636487 0.000000 -0.000000 -0.000000 -0.000000
41.923487 0.000000 -0.000000 -0.000000 -0.000000
42.209487 0.000000 -0.000000 -0.000000 -0.000000
42.495487 -0.000000 -0.000000 -0.000000 -0.000000
42.782487 -0.000000 -0.000000 -0.000000 -0.000000
43.068487 -0.000000 -0.000000 0.000000 -0.000000
43.355487 -0.000000 -0.000000 -0.000000 -0.000000
43.641487 -0.000000 -0.000000 -0.000000 -0.000000
43.928487 -0.000000 0.000000 -0.000000 -0.000000
44.214487 -0.000000 0.000000 0.000000 0.000000
44.501487 -0.000000 -0.000000 0.000000 -0.000000
44.787487 0.000000 0.000000 0.000000 0.000000
45.073487 0.000000 0.000000 0.000000 0.000000
45.360487 0.000000 -0.000000 0.000000 -0.000000
45.646487 -0.000000 -0.000000 -0.000000 -0.000000
45.933487 -0.000000 0.000000 0.000000 0.000000
46.219487 -0.000000 0.000000 0.000000 -0.000000
46.506487 0.000000 0.000000 0.000000 0.000000
46.792487 -0.000000 0.000000 -0.000000 0.000000
47.079487 0.000000 -0.000000 -0.000000 -0.000000
47.365487 0.000000 0.000000 0.000000 0.000000
47.651487 0.000000 -0.000000 0.000000 0.000000
47.938487 -0.000000 -0.000000 0.000000 -0.000000
48.224487 -0.000000 0.000000 -0.000000 -0.000000
48.511487 -0.000000 0.000000 0.000000 -0.000000
48.797487 -0.000000 0.000000 0.000000 0.000000
49.084487 0.000000 0.000000 -0.000000 0.000000
49.370487 0.000000 -0.000000 -0.000000 -0.000000
49.657487 -0.000000 0.000000 0.000000 0.000000
49.943487 -0.000000 0.000000 -0.000000 -0.000000
50.229487 -0.000000 0.000000 0.000000 0.000000
50.516487 0.000000 -0.000000 0.000000 0.000000
50.802487 -0.000000 -0.000000 0.000000 0.000000
51.089487 -0.000000 0.000000 -0.000000 -0.000000
51.375487 -0.000000 -0.000000 -0.000000 -0.000000
51.662487 0.000000 -0.000000 0.000000 0.000000
51.948487 0.000000 -0.000000 0.000000 0.000000
52.234487 -0.000000 -0.000000 0.000000 -0.000000
52.521487 -0.000000 -0.000000 0.000000 -0.000000
52.807487 -0.000000 0.000000 0.000000 0.000000
53.094487 -0.000000 0.000000 0.000000 0.000000
53.380487 -0.000000 -0.000000 -0.000000 -0.000000
53.667487 0.000000 -0.000000 0.000000 0.000000
53.953487 0.000000 -0.000000 0.000000 0.000000
54.240487 0.000000 0.000000 -0.000000 -0.000000
54.526487 -0.000000 -0.000000 -0.000000 -0.000000
54.812487 0.000000 0.000000 -0.000000 0.000000
55.099487 -0.000000 0.000000 -0.000000 -0.000000
55.385487 -0.000000 0.000000 -0.000000 -0.000000
55.672487 -0.000000 0.000000 0.000000 0.000000
55.958487 0.000004 -0.000001 -0.000001 0.000002
56.245487 0.000003 -0.000000 0.000001 0.000003
56.531487 0.000003 -0.000001 -0.000003 -0.000002
56.818487 0.000003 -0.000001 -0.000006 -0.000004
57.104487 -0.000035 0.000008 0.000006 -0.000021
57.390487 -0.000005 0.000001 -0.000011 -0.000015
57.677487 -0.000128 0.000157 0.000300 0.000330
57.963487 0.000119 0.000065 0.000152 0.000336
58.250487 0.000270 0.000044 0.000094 0.000407
58.536487 0.001297 -0.000121 0.000071 0.001247
58.823487 -0.001113 -0.000215 -0.000684 -0.002012
59.109487 -0.003710 -0.000398 -0.000811 -0.004920
59.396487 -0.000967 0.000327 0.000681 0.000041
59.682487 0.002854 0.000124 0.000884 0.003862
59.968487 -0.000611 0.000081 0.000441 -0.000089
60.255487 -0.000150 -0.000017 0.000090 -0.000078
60.541487 -0.000849 -0.000023 -0.000402 -0.001274
60.828487 0.000284 -0.000250 0.000002 0.000037
61.114487 0.000670 0.000082 0.000361 0.001112
61.401487 -0.001143 -0.000097 -0.000168 -0.001407
61.687487 -0.000437 0.000041 -0.000089 -0.000485
61.974487 -0.000064 -0.000011 -0.000042 -0.000117
62.260487 0.000509 0.000014 0.000117 0.000640
62.546487 -0.000057 -0.000003 0.000002 -0.000057
62.833487 0.000239 0.000002 0.000035 0.000276
63.119487 0.000006 0.000000 -0.000001 0.000006
63.406487 0.000005 0.000000 -0.000003 0.000003
63.692487 -0.000016 0.000002 -0.000003 -0.000016
63.979487 -0.000112 -0.000026 0.000062 -0.000076
64.265487 -0.000012 -0.000034 -0.000046 -0.000092
64.552487 0.000017 -0.000023 -0.000074 -0.000079
64.838487 0.000000 0.000035 -0.000113 -0.000079
65.124487 -0.000003 -0.000007 -0.000025 -0.000035
65.411487 0.000003 0.000026 0.000058 0.000086
65.697487 0.000001 0.000002 0.000003 0.000006
65.984487 0.000000 0.000000 0.000000 0.000000
66.270487 0.000004 0.000014 0.000040 0.000058
66.557487 -0.000001 -0.000014 -0.000043 -0.000057
66.843487 0.000000 -0.000000 -0.000000 -0.000000
67.130487 0.000000 0.000000 0.000001 0.000002
67.416487 0.000000 0.000000 -0.000002 -0.000002
67.702487 -0.000000 -0.000000 -0.000001 -0.000001
67.989487 -0.000000 -0.000001 -0.000007 -0.000008
68.275487 0.000000 0.000001 0.000017 0.000018
68.562487 0.000000 0.000000 0.000000 0.000001
68.848487 0.000000 0.000000 0.000000 0.000000
69.135487 0.000000 0.000000 0.000000 0.000000
69.421487 0.000000 0.000000 0.000000 0.000000
69.707487 0.000000 0.000000 0.000000 0.000000
69.994487 0.000000 0.000000 0.000000 0.000000
70.280487 0.000000 0.000000 0.000000 0.000000
70.567487 0.000000 0.000000 0.000000 0.000000
70.853487 0.000000 0.000000 0.000000 0.000000
71.140487 0.000000 0.000000 0.000000 0.000000
71.426487 0.000000 0.000000 0.000000 0.000000
71.713487 0.000000 0.000000 0.000000 0.000000
71.999487 0.000000 0.000000 0.000000 0.000000
