# E(eV)    s-DOS    p-DOS    d-DOS    Total
-14.768924 0.000000 0.000000 0.000000 0.000000
-14.583924 0.000000 0.000000 0.000000 0.000000
-14.398924 0.000000 0.000000 0.000000 0.000000
-14.213924 0.000000 0.000000 0.000000 0.000000
-14.028924 0.000000 0.000000 0.000000 0.000000
-13.843924 0.000000 0.000000 0.000000 0.000000
-13.658924 0.000000 0.000000 0.000000 0.000000
-13.473924 0.000000 0.000000 0.000000 0.000000
-13.288924 0.000000 0.000000 0.000000 0.000000
-13.103924 0.000000 0.000000 0.000000 0.000000
-12.918924 0.000000 0.000000 0.000000 0.000000
-12.733924 0.000000 0.000000 0.000000 0.000000
-12.548924 0.000000 0.000000 0.000000 0.000000
-12.363924 0.000161 0.000000 0.000000 0.000162
-12.178924 0.010900 0.000062 0.000004 0.010966
-11.993924 0.042710 0.000554 0.000037 0.043300
-11.808924 0.064510 0.001549 0.000110 0.066169
-11.623924 0.080390 0.002867 0.000220 0.083477
-11.438924 0.093900 0.004436 0.000367 0.098703
-11.253924 0.106100 0.006212 0.000555 0.112867
-11.068924 0.117700 0.008181 0.000789 0.126670
-10.883924 0.129700 0.010390 0.001079 0.141169
-10.697924 0.142000 0.012830 0.001437 0.156267
-10.512924 0.153600 0.015300 0.001860 0.170760
-10.327924 0.168000 0.018100 0.002397 0.188497
-10.142924 0.189200 0.021790 0.003153 0.214143
-9.957924 0.217900 0.025890 0.004284 0.248074
-9.772924 0.258300 0.031420 0.005810 0.295530
-9.587924 0.249800 0.033240 0.006058 0.289098
-9.402924 0.225100 0.032610 0.005846 0.263556
-9.217924 0.210300 0.033540 0.005793 0.249633
-9.032924 0.183800 0.031370 0.005430 0.220600
-8.847924 0.173200 0.032530 0.005401 0.211131
-8.662924 0.134400 0.026700 0.004490 0.165590
-8.477924 0.130700 0.028450 0.004560 0.163710
-8.292924 0.086100 0.020060 0.003220 0.109380
-8.107924 0.062440 0.015880 0.002395 0.080715
-7.922924 0.019860 0.005739 0.000824 0.026423
-7.737924 0.061370 0.019110 0.002655 0.083135
