# E(eV)    s-DOS    p-DOS    d-DOS    Total
-14.771884 0.000000 0.000000 0.000000 0.000000
-14.585884 0.000000 0.000000 0.000000 0.000000
-14.400884 0.000000 0.000000 0.000000 0.000000
-14.215884 0.000000 0.000000 0.000000 0.000000
-14.030884 0.000000 0.000000 0.000000 0.000000
-13.844884 0.000000 0.000000 0.000000 0.000000
-13.659884 0.000000 0.000000 0.000000 0.000000
-13.474884 0.000000 0.000000 0.000000 0.000000
-13.288884 0.000000 -0.000000 -0.000000 0.000000
-13.103884 0.000000 -0.000000 -0.000000 0.000000
-12.918884 0.000000 -0.000000 -0.000000 0.000000
-12.732884 0.000000 -0.000000 -0.000000 0.000000
-12.547884 0.000000 -0.000000 -0.000000 0.000000
-12.362884 0.000000 -0.000000 -0.000000 0.000000
-12.176884 0.000000 -0.000000 -0.000000 0.000000
-11.991884 0.000000 -0.000000 -0.000000 0.000000
-11.806884 0.000001 -0.000001 -0.000000 0.000000
-11.621884 0.000002 -0.000002 -0.000000 0.000001
-11.435884 0.000004 -0.000003 -0.000000 0.000001
-11.250884 0.000007 -0.000005 -0.000000 0.000002
-11.065884 0.000011 -0.000007 -0.000000 0.000004
-10.879884 0.000016 -0.000010 -0.000000 0.000005
-10.694884 0.000023 -0.000014 -0.000001 0.000008
-10.509884 0.000032 -0.000019 -0.000001 0.000012
-10.323884 0.000044 -0.000026 -0.000001 0.000017
-10.138884 0.000062 -0.000036 -0.000002 0.000024
-9.953884 0.000088 -0.000049 -0.000003 0.000036
-9.768884 0.000125 -0.000068 -0.000004 0.000053
-9.582884 0.000161 -0.000085 -0.000005 0.000071
-9.397884 0.000193 -0.000098 -0.000006 0.000089
-9.212884 0.000224 -0.000109 -0.000008 0.000108
-9.026884 0.000255 -0.000118 -0.000009 0.000128
-8.841884 0.000291 -0.000128 -0.000010 0.000153
-8.656884 0.000331 -0.000136 -0.000012 0.000184
-8.470884 0.000384 -0.000147 -0.000014 0.000224
-8.285884 0.000444 -0.000155 -0.000016 0.000273
-8.100884 0.000380 -0.000126 -0.000013 0.000241
-7.914884 -0.000008 -0.000011 -0.000000 -0.000019
-7.729884 -0.000397 0.000086 0.000014 -0.000297
-7.544884 -0.000478 0.000087 0.000018 -0.000374
-7.359884 -0.000493 0.000063 0.000019 -0.000411
-7.173884 -0.000541 0.000034 0.000022 -0.000485
-6.988884 -0.000577 0.000005 0.000024 -0.000548
-6.803884 -0.000430 -0.000022 0.000018 -0.000433
-6.617884 -0.000273 -0.000038 0.000012 -0.000299
-6.432884 -0.000184 -0.000046 0.000008 -0.000222
-6.247884 -0.000135 -0.000050 0.000006 -0.000179
-6.061884 -0.000099 -0.000051 0.000005 -0.000146
-5.876884 -0.000075 -0.000052 0.000003 -0.000124
-5.691884 -0.000056 -0.000052 0.000003 -0.000105
-5.506884 -0.000042 -0.000051 0.000002 -0.000091
-5.320884 -0.000031 -0.000049 0.000002 -0.000079
-5.135884 -0.000023 -0.000048 0.000001 -0.000069
-4.950884 -0.000016 -0.000044 0.000001 -0.000059
-4.764884 -0.000009 -0.000011 -0.000002 -0.000022
-4.579884 0.000000 0.000140 -0.000018 0.000122
-4.394884 0.000002 0.000410 -0.000053 0.000358
-4.208884 -0.000015 0.000574 -0.000078 0.000481
-4.023884 -0.000036 0.000519 -0.000063 0.000420
-3.838884 -0.000052 0.000402 -0.000030 0.000320
-3.652884 -0.000063 0.000330 -0.000007 0.000260
-3.467884 -0.000072 0.000294 0.000008 0.000230
-3.282884 -0.000079 0.000275 0.000019 0.000215
-3.097884 -0.000086 0.000266 0.000026 0.000206
-2.911884 -0.000092 0.000263 0.000027 0.000199
-2.726884 -0.000095 0.000260 0.000026 0.000191
-2.541884 -0.000097 0.000255 0.000024 0.000182
-2.355884 -0.000097 0.000250 0.000021 0.000174
-2.170884 -0.000097 0.000243 0.000019 0.000165
-1.985884 -0.000095 0.000233 0.000016 0.000155
-1.799884 -0.000091 0.000221 0.000013 0.000143
-1.614884 -0.000084 0.000202 0.000010 0.000128
-1.429884 -0.000072 0.000174 0.000007 0.000108
-1.243884 -0.000060 0.000142 0.000004 0.000086
-1.058884 -0.000049 0.000114 0.000002 0.000067
-0.873884 -0.000039 0.000090 0.000000 0.000052
-0.688884 -0.000029 0.000067 -0.000001 0.000038
-0.502884 -0.000018 0.000044 -0.000001 0.000024
-0.317884 -0.000008 0.000020 -0.000001 0.000011
-0.132884 -0.000002 0.000005 -0.000000 0.000003
0.053116 0.000000 0.000000 -0.000000 0.000000
0.238116 0.000005 -0.000005 -0.000001 -0.000001
0.423116 0.000029 -0.000030 -0.000004 -0.000005
0.609116 0.000069 -0.000075 -0.000009 -0.000015
0.794116 0.000093 -0.000111 -0.000011 -0.000029
0.979116 0.000106 -0.000141 -0.000012 -0.000046
1.164116 0.000120 -0.000176 -0.000011 -0.000067
1.350116 0.000139 -0.000226 -0.000008 -0.000095
1.535116 0.000175 -0.000308 -0.000003 -0.000137
1.720116 0.000226 -0.000438 0.000009 -0.000203
1.906116 0.000332 -0.000672 0.000031 -0.000309
2.091116 0.000461 -0.000996 0.000077 -0.000457
2.276116 0.000570 -0.001283 0.000131 -0.000582
2.462116 0.000557 -0.001339 0.000164 -0.000618
2.647116 0.000427 -0.001164 0.000165 -0.000571
2.832116 0.000227 -0.000727 0.000085 -0.000415
3.018116 -0.000146 0.000252 -0.000146 -0.000040
3.203116 -0.000375 0.000963 -0.000327 0.000261
3.388116 -0.000238 0.000707 -0.000278 0.000192
3.573116 -0.000068 0.000255 -0.000175 0.000012
3.759116 0.000040 -0.000055 -0.000101 -0.000116
3.944116 0.000105 -0.000209 -0.000064 -0.000168
4.129116 0.000103 -0.000224 -0.000050 -0.000171
4.315116 0.000073 -0.000168 -0.000050 -0.000145
4.500116 0.000050 -0.000130 -0.000046 -0.000126
4.685116 0.000045 -0.000116 -0.000044 -0.000114
4.871116 0.000054 -0.000146 -0.000042 -0.000134
5.056116 0.000027 -0.000097 -0.000038 -0.000108
5.241116 0.000026 -0.000087 -0.000043 -0.000104
5.426116 0.000021 -0.000080 -0.000043 -0.000102
5.612116 0.000005 -0.000059 -0.000036 -0.000089
5.797116 0.000018 -0.000063 -0.000046 -0.000091
5.982116 0.000020 -0.000053 -0.000050 -0.000084
6.168116 0.000002 -0.000039 -0.000034 -0.000070
6.353116 -0.000005 -0.000011 -0.000038 -0.000053
6.538116 0.000027 -0.000091 -0.000060 -0.000124
6.724116 0.000039 -0.000169 -0.000060 -0.000189
6.909116 -0.000004 -0.000060 -0.000029 -0.000094
7.094116 -0.000017 0.000012 -0.000031 -0.000036
7.280116 -0.000009 -0.000031 -0.000032 -0.000072
7.465116 -0.000032 -0.000002 -0.000001 -0.000035
7.650116 -0.000027 -0.000026 -0.000005 -0.000058
7.835116 -0.000024 -0.000018 -0.000005 -0.000048
8.021116 -0.000037 0.000058 0.000011 0.000032
8.206116 -0.000046 0.000098 0.000026 0.000078
8.391116 -0.000039 0.000114 0.000017 0.000092
8.577116 -0.000038 0.000158 0.000017 0.000136
8.762116 -0.000040 0.000150 0.000046 0.000156
8.947116 -0.000032 0.000181 0.000032 0.000181
9.133116 -0.000025 0.000244 0.000013 0.000233
9.318116 -0.000024 0.000213 0.000052 0.000241
9.503116 -0.000023 0.000262 0.000032 0.000271
9.689116 -0.000020 0.000264 0.000021 0.000264
9.874116 -0.000021 0.000247 0.000059 0.000285
10.059116 -0.000020 0.000275 0.000014 0.000269
10.244116 -0.000020 0.000208 0.000122 0.000310
10.430116 -0.000020 0.000092 0.000330 0.000402
10.615116 -0.000022 -0.000025 0.000544 0.000496
10.800116 -0.000023 -0.000035 0.000619 0.000562
10.986116 -0.000005 -0.000032 0.000668 0.000631
11.171116 0.000017 -0.000022 0.000679 0.000674
11.356116 -0.000017 0.000131 0.000417 0.000532
11.542116 -0.000085 0.000341 0.000138 0.000394
11.727116 -0.000114 0.000380 0.000073 0.000339
11.912116 -0.000111 0.000296 0.000111 0.000296
12.097116 -0.000086 0.000150 0.000185 0.000250
12.283116 -0.000053 -0.000004 0.000311 0.000253
12.468116 -0.000014 -0.000158 0.000447 0.000275
12.653116 -0.000003 -0.000176 0.000400 0.000221
12.839116 -0.000025 -0.000022 0.000199 0.000151
13.024116 -0.000047 0.000113 0.000023 0.000089
13.209116 -0.000037 0.000114 -0.000053 0.000023
13.395116 -0.000021 0.000084 -0.000085 -0.000022
13.580116 -0.000023 0.000116 -0.000209 -0.000116
13.765116 -0.000007 0.000078 -0.000314 -0.000243
13.951116 0.000016 0.000020 -0.000409 -0.000373
14.136116 0.000015 0.000027 -0.000465 -0.000423
14.321116 0.000012 0.000061 -0.000348 -0.000275
14.506116 0.000003 0.000106 -0.000170 -0.000062
14.692116 -0.000009 0.000120 -0.000112 -0.000001
14.877116 -0.000009 0.000152 -0.000141 0.000003
15.062116 -0.000001 0.000142 -0.000202 -0.000062
15.248116 -0.000003 0.000109 -0.000217 -0.000112
15.433116 -0.000004 0.000090 -0.000185 -0.000099
15.618116 0.000000 0.000058 -0.000160 -0.000102
15.804116 -0.000004 0.000039 -0.000146 -0.000112
15.989116 -0.000009 0.000051 -0.000171 -0.000129
16.174116 -0.000007 0.000037 -0.000179 -0.000148
16.359116 -0.000000 0.000031 -0.000176 -0.000146
16.545116 0.000009 0.000039 -0.000202 -0.000154
16.730116 0.000021 0.000068 -0.000290 -0.000202
16.915116 0.000025 0.000123 -0.000394 -0.000246
17.101116 0.000015 0.000123 -0.000437 -0.000299
17.286116 0.000008 0.000100 -0.000423 -0.000315
17.471116 0.000002 0.000028 -0.000303 -0.000274
17.657116 0.000003 -0.000031 -0.000292 -0.000319
17.842116 0.000015 -0.000067 -0.000399 -0.000452
18.027116 0.000026 -0.000075 -0.000451 -0.000500
18.213116 0.000020 -0.000041 -0.000414 -0.000435
18.398116 0.000018 0.000006 -0.000408 -0.000384
18.583116 0.000005 -0.000021 -0.000217 -0.000232
18.768116 -0.000034 -0.000117 0.000235 0.000084
18.954116 -0.000060 -0.000166 0.000412 0.000186
19.139116 -0.000056 -0.000126 0.000319 0.000138
19.324116 -0.000038 -0.000095 0.000269 0.000136
19.510116 -0.000020 -0.000107 0.000238 0.000111
19.695116 -0.000005 -0.000149 0.000194 0.000041
19.880116 -0.000003 -0.000141 0.000171 0.000027
20.066116 -0.000007 -0.000075 0.000194 0.000113
20.251116 -0.000009 -0.000051 0.000214 0.000154
20.436116 -0.000006 -0.000044 0.000184 0.000134
20.622116 0.000008 -0.000036 0.000120 0.000092
20.807116 0.000014 -0.000053 0.000089 0.000050
20.992116 0.000004 -0.000058 0.000125 0.000071
21.177116 -0.000007 -0.000056 0.000173 0.000109
21.363116 -0.000009 -0.000045 0.000177 0.000123
21.548116 -0.000007 -0.000041 0.000180 0.000133
21.733116 -0.000005 -0.000042 0.000130 0.000083
21.919116 -0.000003 -0.000044 0.000069 0.000022
22.104116 -0.000007 -0.000041 0.000060 0.000012
22.289116 -0.000013 -0.000023 0.000045 0.000009
22.475116 -0.000015 -0.000029 0.000040 -0.000003
22.660116 -0.000024 -0.000052 0.000034 -0.000042
22.845116 -0.000037 -0.000072 0.000045 -0.000064
23.030116 -0.000035 -0.000079 0.000032 -0.000082
23.216116 -0.000006 -0.000069 -0.000050 -0.000125
23.401116 0.000001 -0.000047 -0.000083 -0.000130
23.586116 0.000003 -0.000043 -0.000084 -0.000124
23.772116 0.000005 -0.000076 -0.000044 -0.000115
23.957116 0.000002 -0.000101 0.000013 -0.000085
24.142116 0.000009 -0.000058 -0.000006 -0.000055
24.328116 0.000018 -0.000031 -0.000085 -0.000098
24.513116 0.000028 -0.000040 -0.000135 -0.000146
24.698116 0.000019 -0.000019 -0.000090 -0.000091
24.884116 -0.000008 0.000018 0.000009 0.000019
25.069116 -0.000011 0.000018 0.000038 0.000044
25.254116 -0.000010 0.000002 0.000057 0.000048
25.439116 -0.000012 -0.000012 0.000093 0.000069
25.625116 -0.000009 -0.000018 0.000125 0.000098
25.810116 -0.000007 -0.000022 0.000169 0.000139
25.995116 -0.000007 -0.000048 0.000277 0.000222
26.181116 -0.000008 -0.000063 0.000365 0.000294
26.366116 -0.000002 -0.000026 0.000251 0.000222
26.551116 0.000001 0.000012 0.000052 0.000065
26.737116 0.000005 0.000034 -0.000058 -0.000019
26.922116 0.000002 0.000037 -0.000076 -0.000037
27.107116 -0.000005 0.000023 -0.000024 -0.000007
27.292116 -0.000007 0.000011 0.000049 0.000054
27.478116 -0.000001 0.000002 0.000088 0.000089
27.663116 -0.000003 -0.000024 0.000065 0.000037
27.848116 -0.000012 -0.000035 0.000011 -0.000035
28.034116 -0.000006 -0.000022 -0.000030 -0.000058
28.219116 0.000002 -0.000015 -0.000026 -0.000039
28.404116 0.000008 -0.000006 0.000004 0.000006
28.590116 0.000014 -0.000009 0.000035 0.000040
28.775116 0.000015 -0.000000 0.000052 0.000066
28.960116 0.000014 0.000020 0.000020 0.000054
29.146116 0.000009 0.000039 -0.000080 -0.000032
29.331116 0.000009 0.000042 -0.000125 -0.000075
29.516116 0.000012 0.000043 -0.000137 -0.000082
29.701116 0.000018 0.000035 -0.000134 -0.000081
