# E(eV)    s-DOS    p-DOS    d-DOS    Total
-14.771884 0.000000 0.000000 0.000000 0.000000
-14.585884 0.000000 0.000000 0.000000 0.000000
-14.400884 0.000000 0.000000 0.000000 0.000000
-14.215884 0.000000 0.000000 0.000000 0.000000
-14.030884 0.000000 0.000000 0.000000 0.000000
-13.844884 0.000000 0.000000 0.000000 0.000000
-13.659884 0.000000 0.000000 0.000000 0.000000
-13.474884 0.000000 0.000000 0.000000 0.000000
-13.288884 0.000000 0.000000 0.000000 0.000000
-13.103884 0.000000 0.000000 0.000000 0.000000
-12.918884 0.000000 0.000000 0.000000 0.000000
-12.732884 0.000000 0.000000 0.000000 0.000000
-12.547884 0.000000 0.000000 0.000000 0.000000
-12.362884 0.000000 0.000000 0.000000 0.000000
-12.176884 0.000000 0.000000 0.000000 0.000000
-11.991884 -0.000000 0.000000 0.000000 0.000000
-11.806884 -0.000000 0.000000 0.000000 -0.000000
-11.621884 -0.000001 0.000000 0.000000 -0.000000
-11.435884 -0.000001 0.000001 0.000000 -0.000000
-11.250884 -0.000002 0.000001 0.000000 -0.000001
-11.065884 -0.000003 0.000002 0.000000 -0.000001
-10.879884 -0.000004 0.000002 0.000000 -0.000001
-10.694884 -0.000006 0.000003 0.000000 -0.000002
-10.509884 -0.000008 0.000005 0.000000 -0.000003
-10.323884 -0.000011 0.000006 0.000000 -0.000004
-10.138884 -0.000015 0.000008 0.000000 -0.000006
-9.953884 -0.000022 0.000012 0.000001 -0.000009
-9.768884 -0.000030 0.000016 0.000001 -0.000013
-9.582884 -0.000038 0.000020 0.000001 -0.000017
-9.397884 -0.000041 0.000021 0.000001 -0.000019
-9.212884 -0.000044 0.000021 0.000002 -0.000021
-9.026884 -0.000042 0.000019 0.000002 -0.000021
-8.841884 -0.000039 0.000017 0.000001 -0.000020
-8.656884 -0.000028 0.000012 0.000001 -0.000015
-8.470884 -0.000017 0.000006 0.000001 -0.000010
-8.285884 -0.000010 0.000004 0.000000 -0.000006
-8.100884 -0.000004 0.000001 0.000000 -0.000003
-7.914884 -0.000001 0.000000 0.000000 -0.000000
-7.729884 0.000003 -0.000000 -0.000000 0.000002
-7.544884 0.000011 -0.000002 -0.000000 0.000009
-7.359884 0.000028 -0.000003 -0.000001 0.000024
-7.173884 0.000071 -0.000003 -0.000003 0.000065
-6.988884 0.000111 -0.000001 -0.000005 0.000105
-6.803884 0.000096 0.000003 -0.000004 0.000095
-6.617884 0.000063 0.000007 -0.000003 0.000067
-6.432884 0.000045 0.000009 -0.000002 0.000052
-6.247884 0.000033 0.000010 -0.000002 0.000042
-6.061884 0.000025 0.000011 -0.000001 0.000035
-5.876884 0.000019 0.000011 -0.000001 0.000029
-5.691884 0.000015 0.000011 -0.000001 0.000025
-5.506884 0.000013 0.000012 -0.000001 0.000024
-5.320884 0.000009 0.000010 -0.000001 0.000018
-5.135884 0.000007 0.000012 -0.000001 0.000018
-4.950884 0.000005 0.000010 -0.000001 0.000015
-4.764884 0.000003 0.000000 -0.000000 0.000003
-4.579884 -0.000001 -0.000036 -0.000000 -0.000038
-4.394884 -0.000007 -0.000096 -0.000001 -0.000104
-4.208884 -0.000006 -0.000119 -0.000001 -0.000126
-4.023884 -0.000001 -0.000102 -0.000000 -0.000103
-3.838884 0.000003 -0.000089 0.000000 -0.000085
-3.652884 0.000005 -0.000078 0.000001 -0.000071
-3.467884 0.000007 -0.000069 0.000001 -0.000060
-3.282884 0.000007 -0.000056 0.000002 -0.000047
-3.097884 0.000007 -0.000049 0.000003 -0.000039
-2.911884 0.000008 -0.000041 0.000003 -0.000030
-2.726884 0.000004 -0.000023 0.000004 -0.000015
-2.541884 0.000001 -0.000010 0.000005 -0.000003
-2.355884 0.000001 -0.000011 0.000006 -0.000004
-2.170884 -0.000003 0.000007 0.000006 0.000009
-1.985884 -0.000004 0.000009 0.000005 0.000010
-1.799884 -0.000005 0.000017 0.000005 0.000016
-1.614884 -0.000004 0.000014 0.000004 0.000014
-1.429884 -0.000005 0.000016 0.000003 0.000014
-1.243884 -0.000004 0.000012 0.000002 0.000010
-1.058884 -0.000006 0.000017 0.000001 0.000012
-0.873884 -0.000004 0.000011 0.000000 0.000008
-0.688884 -0.000001 0.000003 0.000000 0.000002
-0.502884 -0.000003 0.000007 0.000000 0.000004
-0.317884 -0.000001 0.000002 0.000000 0.000001
-0.132884 0.000000 -0.000001 0.000000 -0.000000
0.053116 0.000000 -0.000000 0.000000 -0.000000
0.238116 0.000000 -0.000000 0.000000 0.000000
0.423116 0.000000 0.000000 0.000000 0.000000
0.609116 0.000000 0.000000 0.000000 0.000000
0.794116 0.000000 0.000000 0.000000 0.000000
0.979116 -0.000000 0.000000 0.000000 0.000000
1.164116 -0.000001 0.000001 0.000000 0.000000
1.350116 -0.000002 0.000003 0.000000 0.000001
1.535116 -0.000004 0.000005 0.000001 0.000001
1.720116 -0.000008 0.000009 0.000002 0.000003
1.906116 -0.000009 -0.000000 0.000007 -0.000002
2.091116 0.000001 -0.000037 0.000017 -0.000019
2.276116 0.000031 -0.000109 0.000029 -0.000048
2.462116 0.000076 -0.000223 0.000050 -0.000097
2.647116 0.000106 -0.000314 0.000067 -0.000141
2.832116 0.000100 -0.000301 0.000060 -0.000142
3.018116 0.000001 -0.000017 -0.000010 -0.000025
3.203116 -0.000122 0.000365 -0.000100 0.000144
3.388116 -0.000122 0.000384 -0.000095 0.000167
3.573116 -0.000075 0.000272 -0.000059 0.000138
3.759116 -0.000041 0.000184 -0.000033 0.000111
3.944116 -0.000043 0.000167 -0.000023 0.000101
4.129116 -0.000061 0.000194 -0.000012 0.000122
4.315116 -0.000064 0.000191 0.000003 0.000131
4.500116 -0.000050 0.000145 0.000014 0.000109
4.685116 -0.000063 0.000164 0.000018 0.000119
4.871116 -0.000072 0.000197 0.000014 0.000140
5.056116 -0.000051 0.000172 0.000015 0.000135
5.241116 -0.000016 0.000049 0.000027 0.000059
5.426116 -0.000006 -0.000006 0.000030 0.000018
5.612116 -0.000020 0.000067 0.000019 0.000065
5.797116 -0.000030 0.000119 0.000014 0.000104
5.982116 0.000007 -0.000016 0.000014 0.000006
6.168116 0.000018 -0.000084 0.000026 -0.000039
6.353116 0.000016 -0.000070 0.000018 -0.000036
6.538116 -0.000004 0.000053 0.000008 0.000057
6.724116 -0.000044 0.000200 0.000031 0.000187
6.909116 -0.000012 0.000053 0.000022 0.000063
7.094116 0.000049 -0.000188 -0.000012 -0.000151
7.280116 0.000048 -0.000170 -0.000019 -0.000141
7.465116 0.000033 -0.000089 -0.000026 -0.000082
7.650116 0.000011 0.000016 -0.000014 0.000013
7.835116 0.000014 -0.000000 -0.000017 -0.000003
8.021116 0.000033 -0.000151 -0.000032 -0.000150
8.206116 0.000031 -0.000173 -0.000031 -0.000173
8.391116 0.000019 -0.000097 -0.000023 -0.000102
8.577116 0.000011 -0.000049 -0.000018 -0.000056
8.762116 0.000009 -0.000071 -0.000020 -0.000082
8.947116 0.000012 -0.000122 -0.000030 -0.000140
9.133116 0.000012 -0.000125 -0.000033 -0.000146
9.318116 0.000004 -0.000074 -0.000020 -0.000090
9.503116 0.000001 -0.000064 -0.000022 -0.000086
9.689116 0.000003 -0.000064 -0.000036 -0.000097
9.874116 0.000006 -0.000037 -0.000043 -0.000073
10.059116 0.000002 -0.000024 -0.000030 -0.000051
10.244116 -0.000003 -0.000027 -0.000029 -0.000059
10.430116 -0.000005 -0.000007 -0.000035 -0.000046
10.615116 -0.000004 -0.000005 -0.000046 -0.000054
10.800116 0.000001 0.000005 -0.000068 -0.000062
10.986116 0.000004 0.000012 -0.000077 -0.000061
11.171116 0.000001 0.000000 -0.000056 -0.000054
11.356116 0.000008 -0.000022 -0.000012 -0.000026
11.542116 0.000016 -0.000043 0.000044 0.000018
11.727116 0.000007 -0.000018 0.000033 0.000022
11.912116 0.000004 -0.000001 0.000020 0.000022
12.097116 0.000016 -0.000030 0.000022 0.000008
12.283116 0.000019 -0.000054 0.000009 -0.000026
12.468116 0.000007 -0.000048 -0.000001 -0.000042
12.653116 0.000002 -0.000031 0.000015 -0.000014
12.839116 0.000005 -0.000018 0.000038 0.000025
13.024116 0.000013 -0.000032 0.000029 0.000011
13.209116 0.000014 -0.000025 0.000032 0.000020
13.395116 0.000012 -0.000013 0.000034 0.000032
13.580116 0.000001 -0.000004 0.000028 0.000025
13.765116 -0.000010 -0.000011 0.000034 0.000013
13.951116 0.000003 -0.000031 0.000047 0.000019
14.136116 0.000002 0.000003 0.000055 0.000060
14.321116 -0.000006 0.000033 0.000055 0.000082
14.506116 -0.000007 0.000029 0.000043 0.000066
14.692116 0.000000 -0.000015 0.000007 -0.000007
14.877116 0.000002 -0.000047 -0.000010 -0.000056
15.062116 -0.000004 -0.000019 0.000029 0.000006
15.248116 -0.000009 -0.000002 0.000068 0.000056
15.433116 -0.000008 -0.000007 0.000049 0.000034
15.618116 0.000002 -0.000007 0.000028 0.000022
15.804116 0.000003 -0.000019 0.000012 -0.000005
15.989116 -0.000003 -0.000031 -0.000015 -0.000049
16.174116 -0.000009 -0.000012 0.000003 -0.000017
16.359116 -0.000013 0.000015 0.000075 0.000077
16.545116 -0.000011 0.000010 0.000081 0.000080
16.730116 -0.000001 -0.000021 -0.000005 -0.000027
16.915116 -0.000004 -0.000046 0.000008 -0.000043
17.101116 -0.000010 -0.000022 0.000070 0.000038
17.286116 -0.000007 -0.000007 0.000052 0.000038
17.471116 -0.000005 0.000015 0.000017 0.000027
17.657116 -0.000004 0.000058 -0.000015 0.000039
17.842116 0.000001 0.000069 -0.000049 0.000020
18.027116 0.000002 0.000069 -0.000069 0.000002
18.213116 0.000001 0.000082 -0.000080 0.000004
18.398116 0.000001 0.000071 -0.000068 0.000004
18.583116 0.000004 0.000047 -0.000009 0.000042
18.768116 0.000006 0.000059 0.000027 0.000093
18.954116 0.000016 0.000084 -0.000041 0.000059
19.139116 0.000017 0.000073 -0.000081 0.000009
19.324116 0.000010 0.000027 -0.000063 -0.000025
19.510116 0.000012 0.000025 -0.000102 -0.000065
19.695116 0.000018 0.000049 -0.000125 -0.000058
19.880116 0.000011 0.000027 0.000037 0.000076
20.066116 0.000004 0.000001 0.000041 0.000046
20.251116 0.000002 -0.000003 -0.000045 -0.000046
20.436116 0.000004 0.000002 0.000001 0.000007
20.622116 0.000006 0.000002 -0.000004 0.000004
20.807116 0.000004 -0.000005 -0.000006 -0.000007
20.992116 0.000004 0.000023 0.000011 0.000037
21.177116 0.000000 0.000027 0.000047 0.000074
21.363116 0.000001 0.000011 0.000033 0.000044
21.548116 0.000002 0.000013 0.000012 0.000027
21.733116 0.000002 0.000010 0.000012 0.000024
21.919116 -0.000007 0.000015 0.000012 0.000020
22.104116 -0.000009 0.000011 -0.000000 0.000002
22.289116 -0.000002 0.000001 -0.000009 -0.000010
22.475116 0.000005 0.000009 -0.000029 -0.000015
22.660116 0.000010 0.000006 -0.000026 -0.000011
22.845116 -0.000004 0.000008 0.000030 0.000033
23.030116 -0.000010 0.000010 0.000023 0.000023
23.216116 0.000006 -0.000010 -0.000013 -0.000017
23.401116 0.000003 -0.000010 0.000036 0.000028
23.586116 0.000000 -0.000003 0.000023 0.000020
23.772116 0.000002 0.000002 -0.000031 -0.000028
23.957116 -0.000001 -0.000001 0.000003 0.000001
24.142116 0.000001 -0.000017 0.000038 0.000023
24.328116 0.000009 -0.000033 0.000013 -0.000011
24.513116 -0.000009 -0.000024 0.000033 0.000000
24.698116 -0.000017 -0.000025 0.000018 -0.000024
24.884116 -0.000001 -0.000020 -0.000031 -0.000052
25.069116 0.000002 -0.000010 -0.000010 -0.000018
25.254116 -0.000005 -0.000017 0.000016 -0.000007
25.439116 -0.000005 -0.000020 -0.000010 -0.000035
25.625116 -0.000008 -0.000019 -0.000046 -0.000072
25.810116 -0.000013 -0.000023 -0.000068 -0.000104
25.995116 -0.000006 -0.000021 -0.000046 -0.000073
26.181116 0.000004 -0.000012 -0.000008 -0.000016
26.366116 0.000002 -0.000001 0.000013 0.000014
26.551116 -0.000000 0.000004 -0.000029 -0.000025
26.737116 0.000000 0.000001 -0.000045 -0.000044
26.922116 -0.000002 -0.000014 -0.000020 -0.000037
27.107116 -0.000004 -0.000027 0.000002 -0.000029
27.292116 -0.000000 -0.000017 0.000059 0.000042
27.478116 -0.000001 -0.000005 0.000141 0.000135
27.663116 0.000001 -0.000007 0.000131 0.000124
27.848116 0.000002 -0.000014 0.000084 0.000073
28.034116 -0.000000 -0.000026 0.000066 0.000040
28.219116 0.000000 -0.000031 0.000076 0.000046
28.404116 0.000004 -0.000023 0.000062 0.000042
28.590116 0.000008 -0.000033 0.000067 0.000042
28.775116 0.000006 -0.000022 0.000030 0.000013
28.960116 0.000002 0.000007 -0.000018 -0.000009
29.146116 0.000002 0.000013 -0.000033 -0.000018
29.331116 0.000002 0.000016 -0.000073 -0.000055
29.516116 0.000001 0.000031 -0.000102 -0.000070
29.701116 0.000001 0.000033 -0.000096 -0.000062
29.887116 0.000000 0.000031 -0.000086 -0.000055
30.072116 -0.000001 0.000026 -0.000068 -0.000043
30.257116 -0.000000 0.000026 -0.000037 -0.000012
