# E(eV)    s-DOS    p-DOS    d-DOS    Total
-14.771884 0.000000 0.000000 0.000000 0.000000
-14.585884 0.000000 0.000000 0.000000 0.000000
-14.400884 0.000000 0.000000 0.000000 0.000000
-14.215884 0.000000 0.000000 0.000000 0.000000
-14.030884 0.000000 0.000000 0.000000 0.000000
-13.844884 0.000000 0.000000 0.000000 0.000000
-13.659884 0.000000 0.000000 0.000000 0.000000
-13.474884 0.000000 0.000000 0.000000 0.000000
-13.288884 0.000000 0.000000 0.000000 0.000000
-13.103884 0.000000 0.000000 0.000000 0.000000
-12.918884 0.000000 0.000000 0.000000 0.000000
-12.732884 0.000001 0.000000 0.000000 0.000001
-12.547884 0.000107 0.000000 0.000000 0.000108
-12.362884 0.002357 0.000015 0.000001 0.002373
-12.176884 0.015460 0.000155 0.000010 0.015625
-11.991884 0.040670 0.000663 0.000045 0.041379
-11.806884 0.063280 0.001623 0.000118 0.065021
-11.621884 0.079920 0.002928 0.000229 0.083077
-11.435884 0.093710 0.004492 0.000377 0.098579
-11.250884 0.106200 0.006276 0.000567 0.113044
-11.065884 0.118000 0.008263 0.000804 0.127067
-10.879884 0.129700 0.010440 0.001096 0.141236
-10.694884 0.141700 0.012830 0.001453 0.155983
-10.509884 0.154700 0.015440 0.001894 0.172034
-10.323884 0.169900 0.018360 0.002456 0.190716
-10.138884 0.190600 0.021860 0.003240 0.215700
-9.953884 0.221400 0.026340 0.004398 0.252138
-9.768884 0.247900 0.030660 0.005547 0.284107
-9.582884 0.246000 0.032720 0.005960 0.284680
-9.397884 0.227300 0.033030 0.005889 0.266219
-9.212884 0.207400 0.032880 0.005727 0.246007
-9.026884 0.186200 0.031980 0.005476 0.223656
-8.841884 0.166000 0.030850 0.005186 0.202036
-8.656884 0.142900 0.028610 0.004739 0.176249
-8.470884 0.120000 0.025880 0.004196 0.150076
-8.285884 0.090090 0.020920 0.003319 0.114329
-8.100884 0.057790 0.014490 0.002214 0.074494
-7.914884 0.037700 0.010810 0.001554 0.050064
-7.729884 0.053700 0.017000 0.002360 0.073060
-7.544884 0.080740 0.027570 0.003756 0.112066
-7.359884 0.118900 0.047380 0.005676 0.171956
-7.173884 0.180000 0.094880 0.008495 0.283375
-6.988884 0.240500 0.147400 0.011400 0.399300
-6.803884 0.209800 0.134200 0.010650 0.354650
-6.617884 0.161800 0.104000 0.009108 0.274908
-6.432884 0.129400 0.085840 0.008002 0.223242
-6.247884 0.112400 0.076580 0.007576 0.196556
-6.061884 0.096000 0.068260 0.006999 0.171259
-5.876884 0.085310 0.062900 0.006733 0.154943
-5.691884 0.074800 0.057540 0.006356 0.138696
-5.506884 0.066050 0.053100 0.006055 0.125205
-5.320884 0.059180 0.049490 0.005826 0.114496
-5.135884 0.051760 0.045540 0.005488 0.102788
-4.950884 0.046710 0.043650 0.005345 0.095705
-4.764884 0.041220 0.054350 0.005505 0.101075
-4.579884 0.039030 0.114700 0.007610 0.161340
-4.394884 0.039570 0.211300 0.011440 0.262310
-4.208884 0.040960 0.262900 0.014160 0.318020
-4.023884 0.041470 0.259700 0.015010 0.316180
-3.838884 0.039950 0.254800 0.015580 0.310330
-3.652884 0.038750 0.265000 0.016800 0.320550
-3.467884 0.036620 0.285900 0.018290 0.340810
-3.282884 0.034400 0.323100 0.020340 0.377840
-3.097884 0.032040 0.377300 0.023010 0.432350
-2.911884 0.029120 0.413400 0.025470 0.467990
-2.726884 0.026510 0.415400 0.027330 0.469240
-2.541884 0.023600 0.406400 0.028770 0.458770
-2.355884 0.020980 0.397400 0.030150 0.448530
-2.170884 0.018310 0.388300 0.031370 0.437980
-1.985884 0.015710 0.379900 0.032500 0.428110
-1.799884 0.013190 0.371600 0.033520 0.418310
-1.614884 0.010690 0.358500 0.034030 0.403220
-1.429884 0.008335 0.318300 0.032150 0.358785
-1.243884 0.006271 0.247200 0.027310 0.280781
-1.058884 0.004554 0.184700 0.022590 0.211844
-0.873884 0.003125 0.140600 0.018870 0.162595
-0.688884 0.001942 0.105500 0.015440 0.122882
-0.502884 0.000997 0.072980 0.011590 0.085567
-0.317884 0.000358 0.039010 0.006625 0.045993
-0.132884 0.000069 0.011280 0.002002 0.013351
0.053116 0.000066 0.001280 0.000304 0.001651
0.238116 0.001001 0.001158 0.001386 0.003545
0.423116 0.005457 0.006298 0.007672 0.019427
0.609116 0.013350 0.016260 0.019290 0.048900
0.794116 0.020510 0.027100 0.030590 0.078200
0.979116 0.025970 0.037610 0.039970 0.103550
1.164116 0.031680 0.048490 0.048750 0.128920
1.350116 0.042310 0.061660 0.059400 0.163370
1.535116 0.058410 0.078180 0.072150 0.208740
1.720116 0.077240 0.100500 0.087850 0.265590
1.906116 0.100400 0.131100 0.107600 0.339100
2.091116 0.116100 0.160100 0.123000 0.399200
2.276116 0.108000 0.168800 0.121800 0.398600
2.462116 0.086610 0.157800 0.109400 0.353810
2.647116 0.068480 0.147200 0.099050 0.314730
2.832116 0.057030 0.159600 0.104600 0.321230
3.018116 0.054980 0.221700 0.146800 0.423480
3.203116 0.058750 0.267600 0.178200 0.504550
3.388116 0.058960 0.247900 0.165600 0.472460
3.573116 0.059100 0.230700 0.154900 0.444700
3.759116 0.053390 0.208200 0.140400 0.401990
3.944116 0.042830 0.185900 0.128200 0.356930
4.129116 0.038760 0.177500 0.126500 0.342760
4.315116 0.040580 0.181800 0.131600 0.353980
4.500116 0.044280 0.187300 0.135800 0.367380
4.685116 0.044890 0.179800 0.128200 0.352890
4.871116 0.044330 0.176800 0.126300 0.347430
5.056116 0.042790 0.172200 0.124300 0.339290
5.241116 0.041180 0.171500 0.123500 0.336180
5.426116 0.038660 0.166100 0.120400 0.325160
5.612116 0.034790 0.160100 0.116400 0.311290
5.797116 0.031660 0.158700 0.116800 0.307160
5.982116 0.028330 0.150100 0.116000 0.294430
6.168116 0.027400 0.150300 0.127900 0.305600
6.353116 0.030100 0.150600 0.143600 0.324300
6.538116 0.032730 0.149400 0.155300 0.337430
6.724116 0.032020 0.151200 0.154300 0.337520
6.909116 0.030170 0.145800 0.141600 0.317570
7.094116 0.029340 0.152700 0.144000 0.326040
7.280116 0.028380 0.153200 0.151500 0.333080
7.465116 0.027420 0.155500 0.162200 0.345120
7.650116 0.027250 0.166000 0.172100 0.365350
7.835116 0.026710 0.154600 0.160100 0.341410
8.021116 0.026230 0.150600 0.156300 0.333130
8.206116 0.026270 0.139800 0.153400 0.319470
8.391116 0.026350 0.139800 0.156700 0.322850
8.577116 0.027780 0.149600 0.167400 0.344780
8.762116 0.030890 0.140300 0.164900 0.336090
8.947116 0.034580 0.146700 0.166200 0.347480
9.133116 0.036160 0.149300 0.172000 0.357460
9.318116 0.034390 0.140200 0.165300 0.339890
9.503116 0.033610 0.144900 0.171300 0.349810
9.689116 0.030410 0.139400 0.173900 0.343710
9.874116 0.028980 0.132100 0.169800 0.330880
10.059116 0.028030 0.133300 0.173200 0.334530
10.244116 0.023970 0.126000 0.165300 0.315270
10.430116 0.024480 0.127800 0.163700 0.315980
10.615116 0.025210 0.133100 0.171200 0.329510
10.800116 0.026150 0.131800 0.171200 0.329150
10.986116 0.031580 0.138300 0.173300 0.343180
11.171116 0.031430 0.131200 0.158500 0.321130
11.356116 0.028400 0.114700 0.136400 0.279500
11.542116 0.030360 0.116500 0.143200 0.290060
11.727116 0.030800 0.121500 0.163700 0.316000
11.912116 0.030210 0.125800 0.179900 0.335910
12.097116 0.033100 0.138800 0.199800 0.371700
12.283116 0.032840 0.145300 0.208700 0.386840
12.468116 0.031600 0.145200 0.203100 0.379900
12.653116 0.031150 0.148200 0.201900 0.381250
12.839116 0.027990 0.141600 0.191000 0.360590
13.024116 0.026790 0.142400 0.185400 0.354590
13.209116 0.026440 0.146400 0.185200 0.358040
13.395116 0.026860 0.152600 0.190600 0.370060
13.580116 0.029290 0.170000 0.214500 0.413790
13.765116 0.029530 0.184600 0.232400 0.446530
13.951116 0.024010 0.191500 0.211500 0.427010
14.136116 0.017810 0.187500 0.184600 0.389910
14.321116 0.013040 0.157200 0.162800 0.333040
14.506116 0.011820 0.136100 0.158400 0.306320
14.692116 0.012900 0.130200 0.178200 0.321300
14.877116 0.015700 0.125300 0.203600 0.344600
15.062116 0.019180 0.123900 0.234300 0.377380
15.248116 0.018900 0.125800 0.250800 0.395500
15.433116 0.014830 0.119100 0.231100 0.365030
15.618116 0.010560 0.109300 0.199700 0.319560
15.804116 0.008615 0.104000 0.187600 0.300215
15.989116 0.008831 0.101300 0.188200 0.298331
16.174116 0.011000 0.095450 0.187100 0.293550
16.359116 0.015270 0.095190 0.198500 0.308960
16.545116 0.020670 0.095380 0.214300 0.330350
16.730116 0.023440 0.094400 0.229600 0.347440
16.915116 0.023040 0.096410 0.231400 0.350850
17.101116 0.021750 0.094290 0.221900 0.337940
17.286116 0.021630 0.093710 0.222600 0.337940
17.471116 0.022420 0.101900 0.238400 0.362720
17.657116 0.022520 0.105200 0.249700 0.377420
17.842116 0.022610 0.107000 0.257400 0.387010
18.027116 0.022860 0.110900 0.265700 0.399460
18.213116 0.022870 0.117200 0.282300 0.422370
18.398116 0.022010 0.113200 0.280000 0.415210
18.583116 0.020950 0.100700 0.266500 0.388150
18.768116 0.021980 0.101300 0.284300 0.407580
18.954116 0.025390 0.107800 0.319200 0.452390
19.139116 0.025460 0.105600 0.317300 0.448360
19.324116 0.023730 0.101500 0.299300 0.424530
19.510116 0.022060 0.100800 0.290000 0.412860
19.695116 0.020090 0.098820 0.282000 0.400910
19.880116 0.017320 0.088940 0.251600 0.357860
20.066116 0.014480 0.080680 0.223600 0.318760
20.251116 0.013210 0.087110 0.249100 0.349420
20.436116 0.012920 0.093080 0.269900 0.375900
20.622116 0.013740 0.095230 0.269200 0.378170
20.807116 0.014040 0.099530 0.271800 0.385370
20.992116 0.013340 0.099270 0.282300 0.394910
21.177116 0.013190 0.098090 0.297200 0.408480
21.363116 0.013640 0.093390 0.292800 0.399830
21.548116 0.014210 0.090380 0.303400 0.407990
21.733116 0.014840 0.091030 0.325500 0.431370
21.919116 0.013610 0.083920 0.319200 0.416730
22.104116 0.012270 0.074870 0.314100 0.401240
22.289116 0.012670 0.067140 0.302800 0.382610
22.475116 0.013750 0.063560 0.289200 0.366510
22.660116 0.014380 0.064890 0.289800 0.369070
22.845116 0.016640 0.068740 0.298900 0.384280
23.030116 0.018740 0.069080 0.303700 0.391520
23.216116 0.016680 0.061280 0.284200 0.362160
23.401116 0.014850 0.053390 0.264200 0.332440
23.586116 0.015680 0.052580 0.273800 0.342060
23.772116 0.015460 0.050750 0.282200 0.348410
23.957116 0.014790 0.048590 0.260300 0.323680
24.142116 0.015170 0.048210 0.218600 0.281980
24.328116 0.017220 0.049840 0.208600 0.275660
24.513116 0.017050 0.048510 0.197600 0.263160
24.698116 0.015480 0.046120 0.185700 0.247300
24.884116 0.015910 0.048600 0.195600 0.260110
25.069116 0.016010 0.048410 0.197000 0.261420
25.254116 0.015520 0.049830 0.196700 0.262050
25.439116 0.015760 0.055700 0.202300 0.273760
25.625116 0.017320 0.062930 0.210500 0.290750
25.810116 0.020090 0.076780 0.235200 0.332070
25.995116 0.022950 0.094560 0.261900 0.379410
26.181116 0.024430 0.109600 0.284800 0.418830
26.366116 0.019760 0.103900 0.262900 0.386560
26.551116 0.011160 0.084340 0.206100 0.301600
26.737116 0.006523 0.073690 0.174200 0.254413
26.922116 0.007149 0.077060 0.182500 0.266709
27.107116 0.012080 0.096250 0.229000 0.337330
27.292116 0.018160 0.121700 0.290000 0.429860
27.478116 0.019590 0.122200 0.293000 0.434790
27.663116 0.018870 0.094990 0.246500 0.360360
27.848116 0.019400 0.074390 0.214500 0.308290
28.034116 0.019580 0.066330 0.196400 0.282310
28.219116 0.020320 0.059280 0.174900 0.254500
28.404116 0.021320 0.053040 0.151600 0.225960
28.590116 0.022550 0.054440 0.144400 0.221390
28.775116 0.021240 0.067250 0.153000 0.241490
28.960116 0.018960 0.094290 0.178900 0.292150
29.146116 0.015900 0.119700 0.206000 0.341600
29.331116 0.013060 0.123500 0.215400 0.351960
29.516116 0.012450 0.105400 0.216500 0.334350
29.701116 0.012950 0.090970 0.220900 0.324820
29.887116 0.012980 0.079110 0.212800 0.304890
30.072116 0.013630 0.070830 0.207000 0.291460
30.257116 0.014530 0.071360 0.211100 0.296990
30.443116 0.014910 0.067210 0.202800 0.284920
30.628116 0.014100 0.064080 0.193000 0.271180
30.813116 0.013420 0.064850 0.194800 0.273070
30.999116 0.012650 0.059940 0.195500 0.268090
31.184116 0.012310 0.059050 0.207700 0.279060
31.369116 0.013440 0.061030 0.220500 0.294970
31.555116 0.014030 0.058960 0.221600 0.294590
31.740116 0.011910 0.052980 0.206600 0.271490
31.925116 0.010170 0.048490 0.200700 0.259360
32.110116 0.009817 0.045840 0.204000 0.259657
32.296116 0.010640 0.047970 0.222700 0.281310
32.481116 0.011840 0.054350 0.256000 0.322190
32.666116 0.012380 0.055010 0.265700 0.333090
32.852116 0.011520 0.047910 0.233300 0.292730
33.037116 0.009697 0.040420 0.190700 0.240817
33.222116 0.008260 0.036830 0.183100 0.228190
33.408116 0.007825 0.036110 0.198700 0.242635
