# E(eV)    s-DOS    p-DOS    d-DOS    Total
-14.771884 0.000000 0.000000 0.000000 0.000000
-14.585884 0.000000 0.000000 0.000000 0.000000
-14.400884 0.000000 0.000000 0.000000 0.000000
-14.215884 0.000000 0.000000 0.000000 0.000000
-14.030884 0.000000 0.000000 0.000000 0.000000
-13.844884 0.000000 0.000000 0.000000 0.000000
-13.659884 0.000000 0.000000 0.000000 0.000000
-13.474884 0.000000 0.000000 0.000000 0.000000
-13.288884 0.000000 -0.000000 0.000000 0.000000
-13.103884 0.000000 0.000000 0.000000 0.000000
-12.918884 0.000000 0.000000 0.000000 0.000000
-12.732884 -0.000000 0.000000 0.000000 0.000000
-12.547884 -0.000000 0.000000 0.000000 -0.000000
-12.362884 -0.000000 0.000000 0.000000 -0.000000
-12.176884 -0.000000 0.000000 0.000000 -0.000000
-11.991884 -0.000000 0.000000 0.000000 -0.000000
-11.806884 -0.000000 0.000000 0.000000 -0.000000
-11.621884 -0.000001 0.000000 0.000000 -0.000000
-11.435884 -0.000001 0.000001 0.000000 -0.000000
-11.250884 -0.000002 0.000001 0.000000 -0.000001
-11.065884 -0.000003 0.000002 0.000000 -0.000001
-10.879884 -0.000004 0.000002 0.000000 -0.000001
-10.694884 -0.000005 0.000003 0.000000 -0.000002
-10.509884 -0.000007 0.000005 0.000000 -0.000003
-10.323884 -0.000010 0.000006 0.000000 -0.000004
-10.138884 -0.000014 0.000008 0.000000 -0.000006
-9.953884 -0.000020 0.000011 0.000001 -0.000008
-9.768884 -0.000030 0.000016 0.000001 -0.000013
-9.582884 -0.000036 0.000019 0.000001 -0.000016
-9.397884 -0.000041 0.000021 0.000001 -0.000019
-9.212884 -0.000043 0.000021 0.000002 -0.000020
-9.026884 -0.000042 0.000019 0.000002 -0.000021
-8.841884 -0.000037 0.000016 0.000001 -0.000020
-8.656884 -0.000027 0.000011 0.000001 -0.000015
-8.470884 -0.000015 0.000006 0.000001 -0.000009
-8.285884 -0.000008 0.000003 0.000000 -0.000005
-8.100884 -0.000003 0.000001 0.000000 -0.000002
-7.914884 -0.000002 0.000000 0.000000 -0.000001
-7.729884 0.000001 -0.000000 -0.000000 0.000001
-7.544884 0.000009 -0.000001 -0.000000 0.000007
-7.359884 0.000027 -0.000003 -0.000001 0.000023
-7.173884 0.000069 -0.000003 -0.000003 0.000063
-6.988884 0.000110 -0.000001 -0.000005 0.000104
-6.803884 0.000094 0.000003 -0.000004 0.000093
-6.617884 0.000063 0.000007 -0.000003 0.000067
-6.432884 0.000043 0.000009 -0.000002 0.000050
-6.247884 0.000033 0.000011 -0.000002 0.000042
-6.061884 0.000024 0.000010 -0.000001 0.000033
-5.876884 0.000019 0.000011 -0.000001 0.000029
-5.691884 0.000015 0.000011 -0.000001 0.000026
-5.506884 0.000011 0.000010 -0.000001 0.000020
-5.320884 0.000010 0.000012 -0.000001 0.000021
-5.135884 0.000007 0.000010 -0.000001 0.000016
-4.950884 0.000005 0.000009 -0.000000 0.000014
-4.764884 0.000003 0.000002 -0.000000 0.000005
-4.579884 -0.000002 -0.000038 -0.000000 -0.000041
-4.394884 -0.000007 -0.000097 -0.000001 -0.000104
-4.208884 -0.000006 -0.000117 -0.000001 -0.000124
-4.023884 -0.000001 -0.000102 -0.000000 -0.000104
-3.838884 0.000003 -0.000092 -0.000000 -0.000089
-3.652884 0.000005 -0.000072 0.000001 -0.000067
-3.467884 0.000008 -0.000071 0.000001 -0.000063
-3.282884 0.000007 -0.000058 0.000002 -0.000049
-3.097884 0.000007 -0.000046 0.000002 -0.000037
-2.911884 0.000006 -0.000035 0.000003 -0.000026
-2.726884 0.000004 -0.000026 0.000005 -0.000018
-2.541884 -0.000000 -0.000008 0.000006 -0.000003
-2.355884 -0.000001 -0.000001 0.000006 0.000004
-2.170884 -0.000003 0.000005 0.000006 0.000008
-1.985884 -0.000006 0.000014 0.000006 0.000014
-1.799884 -0.000006 0.000017 0.000005 0.000016
-1.614884 -0.000009 0.000025 0.000004 0.000021
-1.429884 -0.000007 0.000022 0.000003 0.000017
-1.243884 -0.000007 0.000018 0.000002 0.000014
-1.058884 -0.000008 0.000022 0.000001 0.000015
-0.873884 -0.000006 0.000017 0.000000 0.000011
-0.688884 -0.000004 0.000011 0.000000 0.000007
-0.502884 -0.000004 0.000009 0.000000 0.000005
-0.317884 -0.000004 0.000008 -0.000000 0.000004
-0.132884 -0.000001 0.000002 -0.000000 0.000001
0.053116 0.000000 0.000000 -0.000000 0.000000
0.238116 0.000001 -0.000001 -0.000000 -0.000000
0.423116 0.000003 -0.000004 -0.000000 -0.000001
0.609116 0.000002 -0.000003 -0.000000 -0.000001
0.794116 0.000004 -0.000004 -0.000000 -0.000001
0.979116 0.000001 -0.000005 0.000000 -0.000003
1.164116 -0.000001 -0.000004 0.000000 -0.000004
1.350116 0.000002 -0.000002 0.000000 0.000000
1.535116 0.000001 -0.000002 0.000001 -0.000000
1.720116 -0.000002 -0.000011 0.000004 -0.000009
1.906116 0.000001 -0.000030 0.000010 -0.000019
2.091116 0.000015 -0.000065 0.000020 -0.000030
2.276116 0.000051 -0.000149 0.000036 -0.000061
2.462116 0.000088 -0.000246 0.000052 -0.000106
2.647116 0.000107 -0.000325 0.000067 -0.000151
2.832116 0.000097 -0.000307 0.000060 -0.000150
3.018116 -0.000017 0.000041 -0.000025 -0.000002
3.203116 -0.000147 0.000431 -0.000111 0.000174
3.388116 -0.000134 0.000422 -0.000102 0.000186
3.573116 -0.000066 0.000253 -0.000062 0.000124
3.759116 -0.000035 0.000136 -0.000024 0.000076
3.944116 -0.000044 0.000176 -0.000018 0.000113
4.129116 -0.000064 0.000238 -0.000020 0.000154
4.315116 -0.000067 0.000196 0.000002 0.000131
4.500116 -0.000060 0.000141 0.000023 0.000104
4.685116 -0.000048 0.000112 0.000021 0.000085
4.871116 -0.000051 0.000167 0.000007 0.000123
5.056116 -0.000066 0.000213 0.000015 0.000162
5.241116 -0.000044 0.000123 0.000030 0.000109
5.426116 -0.000006 -0.000001 0.000030 0.000023
5.612116 -0.000001 0.000004 0.000020 0.000023
5.797116 -0.000002 0.000024 0.000010 0.000032
5.982116 -0.000014 0.000047 0.000021 0.000053
6.168116 0.000003 -0.000022 0.000023 0.000003
6.353116 0.000013 -0.000032 0.000015 -0.000004
6.538116 -0.000010 0.000058 0.000020 0.000068
6.724116 -0.000017 0.000068 0.000023 0.000074
6.909116 0.000009 -0.000017 0.000008 0.000001
7.094116 0.000012 -0.000033 0.000008 -0.000013
7.280116 0.000031 -0.000093 -0.000015 -0.000078
7.465116 0.000049 -0.000144 -0.000036 -0.000131
7.650116 0.000023 -0.000069 -0.000016 -0.000062
7.835116 0.000019 -0.000057 -0.000021 -0.000059
8.021116 0.000030 -0.000098 -0.000034 -0.000102
8.206116 0.000019 -0.000086 -0.000015 -0.000082
8.391116 0.000011 -0.000083 -0.000014 -0.000085
8.577116 0.000023 -0.000140 -0.000040 -0.000157
8.762116 0.000018 -0.000119 -0.000032 -0.000132
8.947116 0.000005 -0.000069 -0.000012 -0.000076
9.133116 0.000005 -0.000071 -0.000019 -0.000085
9.318116 0.000011 -0.000102 -0.000037 -0.000129
9.503116 0.000004 -0.000093 -0.000031 -0.000119
9.689116 0.000002 -0.000056 -0.000030 -0.000084
9.874116 0.000004 -0.000027 -0.000038 -0.000061
10.059116 0.000000 -0.000036 -0.000039 -0.000075
10.244116 -0.000001 -0.000015 -0.000041 -0.000057
10.430116 0.000002 -0.000002 -0.000052 -0.000052
10.615116 -0.000001 -0.000010 -0.000048 -0.000059
10.800116 -0.000001 -0.000019 -0.000053 -0.000074
10.986116 0.000004 -0.000007 -0.000077 -0.000080
11.171116 0.000013 -0.000016 -0.000006 -0.000009
11.356116 0.000007 0.000011 0.000044 0.000062
11.542116 -0.000005 0.000044 0.000033 0.000072
11.727116 0.000003 -0.000000 0.000029 0.000032
11.912116 0.000010 -0.000048 -0.000012 -0.000050
12.097116 0.000013 -0.000050 0.000010 -0.000027
12.283116 0.000006 -0.000022 0.000035 0.000019
12.468116 0.000005 -0.000024 0.000010 -0.000009
12.653116 0.000012 -0.000047 0.000002 -0.000033
12.839116 0.000019 -0.000049 0.000034 0.000003
13.024116 0.000014 -0.000036 0.000046 0.000024
13.209116 0.000002 -0.000013 0.000019 0.000009
13.395116 -0.000001 -0.000007 0.000019 0.000012
13.580116 0.000002 -0.000018 0.000023 0.000007
13.765116 0.000010 -0.000025 0.000026 0.000011
13.951116 0.000007 -0.000005 0.000058 0.000060
14.136116 -0.000008 0.000019 0.000065 0.000075
14.321116 -0.000009 0.000010 0.000025 0.000026
14.506116 -0.000002 -0.000008 0.000010 -0.000000
14.692116 -0.000003 -0.000002 0.000031 0.000026
14.877116 -0.000001 -0.000015 0.000031 0.000015
15.062116 -0.000000 0.000001 0.000034 0.000035
15.248116 -0.000003 -0.000009 0.000027 0.000016
15.433116 -0.000005 -0.000050 0.000027 -0.000028
15.618116 -0.000004 -0.000036 0.000036 -0.000004
15.804116 -0.000005 0.000012 0.000027 0.000034
15.989116 -0.000004 0.000013 0.000009 0.000017
16.174116 -0.000004 0.000004 0.000022 0.000022
16.359116 -0.000008 -0.000009 0.000034 0.000018
16.545116 -0.000008 -0.000030 0.000019 -0.000019
16.730116 -0.000005 -0.000032 0.000033 -0.000004
16.915116 -0.000010 -0.000014 0.000072 0.000047
17.101116 -0.000009 -0.000005 0.000064 0.000049
17.286116 -0.000003 0.000004 0.000012 0.000012
17.471116 -0.000004 0.000016 -0.000018 -0.000006
17.657116 -0.000003 0.000020 -0.000019 -0.000002
17.842116 -0.000002 0.000056 -0.000010 0.000044
18.027116 -0.000001 0.000098 -0.000043 0.000054
18.213116 0.000006 0.000091 -0.000120 -0.000023
18.398116 0.000006 0.000063 -0.000099 -0.000029
18.583116 0.000003 0.000049 -0.000019 0.000033
18.768116 -0.000001 0.000049 0.000079 0.000128
18.954116 0.000008 0.000080 0.000010 0.000098
19.139116 0.000022 0.000075 -0.000114 -0.000017
19.324116 0.000020 0.000045 -0.000156 -0.000091
19.510116 0.000015 0.000024 -0.000104 -0.000065
19.695116 0.000011 0.000024 -0.000022 0.000013
19.880116 0.000005 0.000017 0.000053 0.000075
20.066116 0.000003 0.000012 0.000032 0.000047
20.251116 0.000010 0.000014 -0.000062 -0.000039
20.436116 0.000009 0.000005 -0.000071 -0.000057
20.622116 0.000003 -0.000014 0.000010 -0.000000
20.807116 0.000002 -0.000007 0.000062 0.000057
20.992116 0.000002 0.000023 0.000042 0.000067
21.177116 0.000004 0.000033 -0.000013 0.000023
21.363116 0.000003 0.000018 0.000001 0.000022
21.548116 -0.000000 0.000006 0.000043 0.000049
21.733116 -0.000003 0.000007 0.000037 0.000041
21.919116 -0.000008 0.000019 0.000008 0.000019
22.104116 -0.000005 0.000015 -0.000009 0.000001
22.289116 0.000003 -0.000001 -0.000022 -0.000020
22.475116 0.000003 0.000002 -0.000022 -0.000017
22.660116 -0.000001 0.000008 -0.000008 -0.000001
22.845116 -0.000001 0.000011 0.000006 0.000015
23.030116 0.000001 0.000005 0.000003 0.000009
23.216116 -0.000001 -0.000007 0.000036 0.000028
23.401116 0.000000 -0.000005 0.000019 0.000014
23.586116 0.000001 -0.000001 -0.000017 -0.000017
23.772116 0.000002 -0.000003 -0.000003 -0.000004
23.957116 0.000004 -0.000008 0.000001 -0.000004
24.142116 0.000002 -0.000015 0.000010 -0.000003
24.328116 -0.000003 -0.000020 0.000020 -0.000002
24.513116 -0.000007 -0.000029 0.000024 -0.000011
24.698116 -0.000003 -0.000027 0.000014 -0.000016
24.884116 -0.000004 -0.000020 0.000003 -0.000022
25.069116 -0.000009 -0.000017 -0.000012 -0.000038
25.254116 -0.000003 -0.000013 -0.000019 -0.000035
25.439116 -0.000001 -0.000016 -0.000012 -0.000029
25.625116 -0.000007 -0.000023 -0.000032 -0.000062
25.810116 -0.000011 -0.000027 -0.000041 -0.000079
25.995116 -0.000010 -0.000028 -0.000022 -0.000060
26.181116 -0.000001 -0.000019 -0.000003 -0.000024
26.366116 0.000004 -0.000008 0.000022 0.000018
26.551116 0.000001 0.000000 0.000001 0.000003
26.737116 -0.000001 0.000002 -0.000047 -0.000046
26.922116 -0.000003 -0.000005 -0.000073 -0.000080
27.107116 -0.000003 -0.000020 -0.000030 -0.000052
27.292116 -0.000002 -0.000022 0.000084 0.000060
27.478116 0.000003 -0.000004 0.000190 0.000189
27.663116 0.000002 -0.000010 0.000148 0.000140
27.848116 -0.000006 -0.000023 0.000063 0.000034
28.034116 -0.000003 -0.000021 0.000073 0.000050
28.219116 0.000004 -0.000025 0.000076 0.000054
28.404116 0.000006 -0.000022 0.000051 0.000035
28.590116 0.000008 -0.000018 0.000051 0.000040
28.775116 0.000006 -0.000022 0.000035 0.000019
28.960116 0.000002 -0.000020 0.000020 0.000001
29.146116 0.000002 0.000001 -0.000029 -0.000026
29.331116 0.000003 0.000032 -0.000109 -0.000074
29.516116 0.000004 0.000049 -0.000127 -0.000074
29.701116 0.000001 0.000042 -0.000106 -0.000062
29.887116 -0.000003 0.000022 -0.000076 -0.000056
30.072116 -0.000001 0.000018 -0.000042 -0.000026
