# dT = 0.00250000
# Vi = 1.00000000
# Xi = 0.00000000
# tot_Step =   80001
# print_skip =      80
# method = Euler
#                   t                  vel                  pos                    E
  0.00000000   0.00000000   1.00000000   0.50000000
  0.20000000   0.58922682   0.81102318   0.50247342
  0.40000000   0.95575322   0.31057035   0.50495908
  0.60000000   0.95813440  -0.31127568   0.50745704
  0.80000000   0.59365722  -0.81701028   0.50996735
  1.00000000   0.00006540  -1.01241303   0.51249008
  1.20000000  -0.59648788  -0.82112897   0.51502529
  1.40000000  -0.96759671  -0.31448797   0.51757304
  1.60000000  -0.97004811   0.31507690   0.52013339
  1.80000000  -0.60107974   0.82711303   0.52270641
  2.00000000  -0.00013242   1.02498015   0.52529216
  2.20000000   0.60383840   0.83136068   0.52789070
  2.40000000   0.97958695   0.31845500   0.53050209
  2.60000000   0.98210995  -0.31892452   0.53312640
  2.80000000   0.60859505  -0.83734071   0.53576370
  3.00000000   0.00020109  -1.03770325   0.53841404
  3.20000000  -0.61127950  -0.84171987   0.54107749
  3.40000000  -0.99172577  -0.32247205   0.54375411
  3.60000000  -0.99432177   0.32281912   0.54644398
  3.80000000  -0.61620432   0.84769484   0.54914716
  4.00000000  -0.00027145   1.05058428   0.55186370
  4.20000000   0.61881229   0.85220815   0.55459369
  4.40000000   1.00401501   0.32653976   0.55733718
  4.60000000   1.00668543  -0.32676126   0.56009424
  4.80000000   0.62390872  -0.85817701   0.56286494
  5.00000000   0.00034352  -1.06362520   0.56564934
  5.20000000  -0.62643789  -0.86282710   0.56844752
  5.40000000  -1.01645652  -0.33065877   0.57125954
  5.60000000  -1.01920282   0.33075152   0.57408548
  5.80000000  -0.63170944   0.86878879   0.57692539
  6.00000000  -0.00041734   1.07682799   0.57977935
  6.20000000   0.63415746   0.87357837   0.58264743
  6.40000000   1.02905221   0.33482972   0.58552969
  6.60000000   1.03187585  -0.33479050   0.58842622
  6.80000000   0.63960768  -0.87953178   0.59133707
  7.00000000   0.00049294  -1.09019467   0.59426233
  7.20000000  -0.64197215  -0.88446360   0.59720205
  7.40000000  -1.04180397  -0.33905327   0.60015632
  7.60000000  -1.04470645   0.33887879   0.60312520
  7.80000000  -0.64760467   0.89040761   0.60610876
  8.00000000  -0.00057035   1.10372726   0.60910709
  8.20000000   0.64988313   0.89548446   0.61212025
  8.40000000   1.05471375   0.34333008   0.61514831
  8.60000000   1.05769658  -0.34301698   0.61819136
  8.80000000   0.65570164  -0.90141792   0.62124945
  9.00000000   0.00064961  -1.11742782   0.62432268
  9.20000000  -0.65789159  -0.90664263   0.62741111
  9.40000000  -1.06778349  -0.34766082   0.63051481
  9.60000000  -1.07084824   0.34720569   0.63363387
  9.80000000  -0.66389984   0.91256437   0.63676836
 10.00000000  -0.00073075   1.13129845   0.63991836
 10.20000000   0.66599873   0.91793984   0.64308393
 10.40000000   1.08101519   0.35204617   0.64626517
 10.60000000   1.08416342  -0.35144554   0.64946214
 10.80000000   0.67220052  -0.92384865   0.65267493
 11.00000000   0.00081380  -1.14534124   0.65590361
 11.20000000  -0.67420577  -0.92937781   0.65914827
 11.40000000  -1.09441084  -0.35648683   0.66240897
 11.60000000  -1.09764416   0.35573714   0.66568581
 11.80000000  -0.68060499   0.93527245   0.66897885
 12.00000000  -0.00089881   1.15955835   0.67228819
 12.20000000   0.68251393   0.94095830   0.67561389
 12.40000000   1.10797249   0.36098348   0.67895605
 12.60000000   1.11129252  -0.36008114   0.68231474
 12.80000000   0.68911452  -0.94683751   0.68569005
 13.00000000   0.00098579  -1.17395193   0.68908205
 13.20000000  -0.69092446  -0.95268308   0.69249083
 13.40000000  -1.12170218  -0.36553683   0.69591648
 13.60000000  -1.12511057   0.36447817   0.69935907
 13.80000000  -0.69773044   0.95854557   0.70281869
 14.00000000  -0.00107480   1.18852417   0.70629542
 14.20000000   0.69943863   0.96455395   0.70978936
 14.40000000   1.13560200   0.37014761   0.71330058
 14.60000000   1.13910044  -0.36892887   0.71682917
 14.80000000   0.70645408  -0.97039840   0.72037521
 15.00000000   0.00116587  -1.20327729   0.72393879
 15.20000000  -0.70805771  -0.97657273   0.72752001
 15.40000000  -1.14967406  -0.37481653   0.73111894
 15.60000000  -1.15326426   0.37343390   0.73473567
 15.80000000  -0.71528678   0.98239779   0.73837029
 16.00000000  -0.00125903   1.21821353   0.74202290
 16.20000000   0.71678299   0.98874126   0.74569357
 16.40000000   1.16392049   0.37954432   0.74938240
 16.60000000   1.16760419  -0.37799393   0.75308948
 16.80000000   0.72422990  -0.99454555   0.75681489
 17.00000000   0.00135432  -1.23333517   0.76055874
 17.20000000  -0.72561578  -1.00106142   0.76432111
 17.40000000  -1.17834345  -0.38433173   0.76810209
 17.60000000  -1.18212242   0.38260962   0.77190177
 17.80000000  -0.73328483   1.00684351   0.77572025
 18.00000000  -0.00145179   1.24864451   0.77955762
 18.20000000   0.73455740   1.01353508   0.78341397
 18.40000000   1.19294513   0.38917951   0.78728939
 18.60000000   1.19682116  -0.38728166   0.79118399
 18.80000000   0.74245296  -1.01929354   0.79509786
 19.00000000   0.00155147  -1.26414388   0.79903108
 19.20000000  -0.74360921  -1.02616416   0.80298377
 19.40000000  -1.20772775  -0.39408843   0.80695600
 19.60000000  -1.21170267   0.39201074   0.81094789
 19.80000000  -0.75173571   1.03189751   0.81495952
 20.00000000  -0.00165340   1.27983564   0.81899100
 20.20000000   0.75277255   1.03895060   0.82304243
 20.40000000   1.22269354   0.39905924   0.82711389
 20.60000000   1.22676921  -0.39679754   0.83120549
 20.80000000   0.76113451  -1.04465733   0.83531734
