# dT = 0.00025000
# Vi = 1.00000000
# Xi = 0.00000000
# tot_Step =  800001
# print_skip =     800
# method = Euler
#                   t                  vel                  pos                    E
  0.00000000   0.00000000   1.00000000   0.50000000
  0.20000000   0.58793020   0.80921671   0.50024680
  0.40000000   0.95152588   0.30916977   0.50049372
  0.60000000   0.95176089  -0.30924545   0.50074077
  0.80000000   0.58836608  -0.80981555   0.50098793
  1.00000000   0.00000065  -1.00123446   0.50123522
  1.20000000  -0.58865545  -0.81021604   0.50148263
  1.40000000  -0.95270030  -0.30955205   0.50173017
  1.60000000  -0.95293600   0.30962659   0.50197782
  1.80000000  -0.58909292   0.81081486   0.50222560
  2.00000000  -0.00000130   1.00247045   0.50247350
  2.20000000   0.58938160   0.81121660   0.50272152
  2.40000000   0.95387617   0.30993479   0.50296966
  2.60000000   0.95411256  -0.31000819   0.50321793
  2.80000000   0.58982065  -0.81181540   0.50346632
  3.00000000   0.00000195  -1.00370796   0.50371483
  3.20000000  -0.59010864  -0.81221840   0.50396347
  3.40000000  -0.95505350  -0.31031801   0.50421222
  3.60000000  -0.95529058   0.31039027   0.50446110
  3.80000000  -0.59054929   0.81281717   0.50471011
  4.00000000  -0.00000260   1.00494700   0.50495923
  4.20000000   0.59083658   0.81322143   0.50520848
  4.40000000   0.95623227   0.31070170   0.50545785
  4.60000000   0.95647005  -0.31077282   0.50570735
  4.80000000   0.59127883  -0.81382018   0.50595697
  5.00000000   0.00000325  -1.00618757   0.50620671
  5.20000000  -0.59156542  -0.81422570   0.50645657
  5.40000000  -0.95741250  -0.31108587   0.50670656
  5.60000000  -0.95765098   0.31115583   0.50695667
  5.80000000  -0.59200926   0.81482443   0.50720691
  6.00000000  -0.00000390   1.00742967   0.50745726
  6.20000000   0.59229516   0.81523122   0.50770775
  6.40000000   0.95859419   0.31147051   0.50795835
  6.60000000   0.95883336  -0.31153932   0.50820908
  6.80000000   0.59274060  -0.81582991   0.50845993
  7.00000000   0.00000456  -1.00867330   0.50871091
  7.20000000  -0.59302580  -0.81623797   0.50896201
  7.40000000  -0.95977734  -0.31185563   0.50921324
  7.60000000  -0.96001720   0.31192329   0.50946459
  7.80000000  -0.59347285   0.81683664   0.50971606
  8.00000000  -0.00000522   1.00991847   0.50996765
  8.20000000   0.59375734   0.81724597   0.51021938
  8.40000000   0.96096194   0.31224123   0.51047122
  8.60000000   0.96120251  -0.31230772   0.51072319
  8.80000000   0.59420599  -0.81784461   0.51097528
  9.00000000   0.00000588  -1.01116517   0.51122750
  9.20000000  -0.59448978  -0.81825521   0.51147985
  9.40000000  -0.96214801  -0.31262730   0.51173231
  9.60000000  -0.96238928   0.31269263   0.51198490
  9.80000000  -0.59494005   0.81885382   0.51223762
 10.00000000  -0.00000654   1.01241342   0.51249046
 10.20000000   0.59522313   0.81926570   0.51274343
 10.40000000   0.96333554   0.31301385   0.51299652
 10.60000000   0.96357751  -0.31307802   0.51324974
 10.80000000   0.59567501  -0.81986428   0.51350308
 11.00000000   0.00000720  -1.01366320   0.51375654
 11.20000000  -0.59595738  -0.82027744   0.51401013
 11.40000000  -0.96452454  -0.31340087   0.51426385
 11.60000000  -0.96476722   0.31346388   0.51451769
 11.80000000  -0.59641088   0.82087599   0.51477166
 12.00000000  -0.00000787   1.01491453   0.51502575
 12.20000000   0.59669253   0.82129042   0.51527997
 12.40000000   0.96571501   0.31378838   0.51553431
 12.60000000   0.96595839  -0.31385021   0.51578878
 12.80000000   0.59714765  -0.82188894   0.51604338
 13.00000000   0.00000853  -1.01616740   0.51629810
 13.20000000  -0.59742859  -0.82230466   0.51655294
 13.40000000  -0.96690694  -0.31417636   0.51680791
 13.60000000  -0.96715103   0.31423702   0.51706301
 13.80000000  -0.59788534   0.82290315   0.51731823
 14.00000000  -0.00000920   1.01742182   0.51757358
 14.20000000   0.59816557   0.82332015   0.51782906
 14.40000000   0.96810035   0.31456483   0.51808466
 14.60000000   0.96834514  -0.31462431   0.51834039
 14.80000000   0.59862394  -0.82391860   0.51859624
 15.00000000   0.00000987  -1.01867779   0.51885222
 15.20000000  -0.59890345  -0.82433690   0.51910833
 15.40000000  -0.96929523  -0.31495377   0.51936456
 15.60000000  -0.96954073   0.31501208   0.51962092
 15.80000000  -0.59936345   0.82493531   0.51987740
 16.00000000  -0.00001054   1.01993531   0.52013402
 16.20000000   0.59964224   0.82535489   0.52039076
 16.40000000   0.97049158   0.31534320   0.52064762
 16.60000000   0.97073780  -0.31540032   0.52090461
 16.80000000   0.60010387  -0.82595327   0.52116173
 17.00000000   0.00001121  -1.02119438   0.52141898
 17.20000000  -0.60038194  -0.82637415   0.52167635
 17.40000000  -0.97168941  -0.31573310   0.52193385
 17.60000000  -0.97193634   0.31578904   0.52219148
 17.80000000  -0.60084521   0.82697249   0.52244924
 18.00000000  -0.00001189   1.02245500   0.52270712
 18.20000000   0.60112255   0.82739467   0.52296513
 18.40000000   0.97288872   0.31612349   0.52322326
 18.60000000   0.97313636  -0.31617824   0.52348153
 18.80000000   0.60158747  -0.82799297   0.52373992
 19.00000000   0.00001256  -1.02371719   0.52399844
 19.20000000  -0.60186408  -0.82841644   0.52425709
 19.40000000  -0.97408951  -0.31651436   0.52451586
 19.60000000  -0.97433786   0.31656792   0.52477476
 19.80000000  -0.60233064   0.82901471   0.52503379
 20.00000000  -0.00001324   1.02498093   0.52529295
 20.20000000   0.60260652   0.82943948   0.52555223
 20.40000000   0.97529178   0.31690572   0.52581165
 20.60000000   0.97554085  -0.31695809   0.52607119
 20.80000000   0.60307473  -0.83003770   0.52633086
 21.00000000   0.00001392  -1.02624623   0.52659066
 21.20000000  -0.60334988  -0.83046378   0.52685058
 21.40000000  -0.97649554  -0.31729756   0.52711064
 21.60000000  -0.97674532   0.31734873   0.52737082
 21.80000000  -0.60381974   0.83106196   0.52763113
 22.00000000  -0.00001460   1.02751309   0.52789157
 22.20000000   0.60409415   0.83148935   0.52815214
 22.40000000   0.97770078   0.31768988   0.52841284
 22.60000000   0.97795128  -0.31773985   0.52867366
 22.80000000   0.60456567  -0.83208749   0.52893462
 23.00000000   0.00001528  -1.02878151   0.52919570
 23.20000000  -0.60483935  -0.83251618   0.52945691
 23.40000000  -0.97890751  -0.31808269   0.52971825
 23.60000000  -0.97915873   0.31813145   0.52997972
 23.80000000  -0.60531252   0.83311427   0.53024132
 24.00000000  -0.00001597   1.03005150   0.53050305
 24.20000000   0.60558546   0.83354428   0.53076491
 24.40000000   0.98011573   0.31847598   0.53102689
 24.60000000   0.98036767  -0.31852354   0.53128901
 24.80000000   0.60606029  -0.83414233   0.53155125
 25.00000000   0.00001665  -1.03132306   0.53181363
 25.20000000  -0.60633249  -0.83457365   0.53207613
 25.40000000  -0.98132543  -0.31886976   0.53233877
 25.60000000  -0.98157810   0.31891611   0.53260153
 25.80000000  -0.60680899   0.83517166   0.53286442
 26.00000000  -0.00001734   1.03259619   0.53312745
 26.20000000   0.60708045   0.83560429   0.53339060
 26.40000000   0.98253664   0.31926403   0.53365388
 26.60000000   0.98279003  -0.31930917   0.53391729
 26.80000000   0.60755861  -0.83620225   0.53418084
 27.00000000   0.00001803  -1.03387089   0.53444451
 27.20000000  -0.60782932  -0.83663620   0.53470831
 27.40000000  -0.98374933  -0.31965878   0.53497225
 27.60000000  -0.98400345   0.31970271   0.53523631
 27.80000000  -0.60830916   0.83723412   0.53550050
 28.00000000  -0.00001872   1.03514716   0.53576483
 28.20000000   0.60857912   0.83766939   0.53602928
 28.40000000   0.98496353   0.32005403   0.53629387
 28.60000000   0.98521837  -0.32009673   0.53655858
 28.80000000   0.60906064  -0.83826726   0.53682343
 29.00000000   0.00001942  -1.03642501   0.53708840
 29.20000000  -0.60932985  -0.83870386   0.53735351
 29.40000000  -0.98617922  -0.32044976   0.53761875
 29.60000000  -0.98643480   0.32049124   0.53788412
 29.80000000  -0.60981304   0.83930167   0.53814962
 30.00000000  -0.00002011   1.03770444   0.53841525
 30.20000000   0.61008150   0.83973960   0.53868102
 30.40000000   0.98739641   0.32084598   0.53894691
 30.60000000   0.98765272  -0.32088624   0.53921294
 30.80000000   0.61056638  -0.84033736   0.53947909
 31.00000000   0.00002081  -1.03898545   0.53974538
 31.20000000  -0.61083408  -0.84077662   0.54001180
 31.40000000  -0.98861511  -0.32124269   0.54027835
 31.60000000  -0.98887215   0.32128172   0.54054503
 31.80000000  -0.61132064   0.84137433   0.54081185
 32.00000000  -0.00002150   1.04026803   0.54107879
 32.20000000   0.61158759   0.84181492   0.54134587
 32.40000000   0.98983531   0.32163989   0.54161308
 32.60000000   0.99009308  -0.32167769   0.54188042
 32.80000000   0.61207584  -0.84241258   0.54214789
 33.00000000   0.00002220  -1.04155221   0.54241550
 33.20000000  -0.61234203  -0.84285450   0.54268324
 33.40000000  -0.99105701  -0.32203758   0.54295110
 33.60000000  -0.99131552   0.32207415   0.54321911
 33.80000000  -0.61283197   0.84345211   0.54348724
 34.00000000  -0.00002290   1.04283796   0.54375551
 34.20000000   0.61309739   0.84389537   0.54402391
 34.40000000   0.99228023   0.32243577   0.54429244
 34.60000000   0.99253947  -0.32247110   0.54456110
 34.80000000   0.61358903  -0.84449292   0.54482990
 35.00000000   0.00002361  -1.04412530   0.54509883
 35.20000000  -0.61385369  -0.84493752   0.54536789
 35.40000000  -0.99350495  -0.32283444   0.54563708
 35.60000000  -0.99376493   0.32286853   0.54590641
 35.80000000  -0.61434703   0.84553502   0.54617587
 36.00000000  -0.00002431   1.04541424   0.54644546
 36.20000000   0.61461092   0.84598096   0.54671519
 36.40000000   0.99473119   0.32323361   0.54698505
 36.60000000   0.99499190  -0.32326646   0.54725504
 36.80000000   0.61510596  -0.84657840   0.54752517
 37.00000000   0.00002502  -1.04670476   0.54779543
 37.20000000  -0.61536909  -0.84702569   0.54806582
 37.40000000  -0.99595893  -0.32363328   0.54833635
 37.60000000  -0.99622039   0.32366488   0.54860701
 37.80000000  -0.61586583   0.84762307   0.54887780
 38.00000000  -0.00002572   1.04799688   0.54914873
 38.20000000   0.61612819   0.84807171   0.54941979
 38.40000000   0.99718820   0.32403343   0.54969098
 38.60000000   0.99745039  -0.32406378   0.54996231
 38.80000000   0.61662664  -0.84866903   0.55023377
 39.00000000   0.00002643  -1.04929059   0.55050537
 39.20000000  -0.61688823  -0.84911902   0.55077710
 39.40000000  -0.99841898  -0.32443408   0.55104897
 39.60000000  -0.99868192   0.32446318   0.55132096
 39.80000000  -0.61738840   0.84971628   0.55159310
 40.00000000  -0.00002715   1.05058590   0.55186536
 40.20000000   0.61764921   0.85016763   0.55213777
 40.40000000   0.99965128   0.32483523   0.55241030
 40.60000000   0.99991496  -0.32486307   0.55268297
 40.80000000   0.61815109  -0.85076483   0.55295578
 41.00000000   0.00002786  -1.05188281   0.55322872
 41.20000000  -0.61841112  -0.85121752   0.55350179
 41.40000000  -1.00088510  -0.32523687   0.55377500
 41.60000000  -1.00114953   0.32526346   0.55404835
 41.80000000  -0.61891472   0.85181466   0.55432183
 42.00000000  -0.00002857   1.05318131   0.55459544
 42.20000000   0.61917397   0.85226872   0.55486919
 42.40000000   1.00212044   0.32563901   0.55514307
 42.60000000   1.00238562  -0.32566434   0.55541709
 42.80000000   0.61967930  -0.85286580   0.55569125
 43.00000000   0.00002929  -1.05448143   0.55596554
 43.20000000  -0.61993777  -0.85332121   0.55623997
 43.40000000  -1.00335731  -0.32604165   0.55651453
 43.60000000  -1.00362324   0.32606571   0.55678922
 43.80000000  -0.62044482   0.85391823   0.55706405
 44.00000000  -0.00003001   1.05578314   0.55733902
 44.20000000   0.62070251   0.85437501   0.55761413
 44.40000000   1.00459571   0.32644479   0.55788937
 44.60000000   1.00486238  -0.32646757   0.55816474
 44.80000000   0.62121129  -0.85497195   0.55844025
 45.00000000   0.00003073  -1.05708647   0.55871590
 45.20000000  -0.62146819  -0.85543010   0.55899168
 45.40000000  -1.00583563  -0.32684842   0.55926760
 45.60000000  -1.00610306   0.32686994   0.55954366
 45.80000000  -0.62197870   0.85602698   0.55981985
 46.00000000  -0.00003145   1.05839140   0.56009618
 46.20000000   0.62223481   0.85648650   0.56037264
 46.40000000   1.00707708   0.32725255   0.56064924
 46.60000000   1.00734526  -0.32727279   0.56092598
 46.80000000   0.62274706  -0.85708331   0.56120285
 47.00000000   0.00003217  -1.05969794   0.56147987
 47.20000000  -0.62300238  -0.85754420   0.56175701
 47.40000000  -1.00832007  -0.32765718   0.56203430
 47.60000000  -1.00858900   0.32767615   0.56231172
 47.80000000  -0.62351638   0.85814094   0.56258928
 48.00000000  -0.00003290   1.06100610   0.56286697
 48.20000000   0.62377090   0.85860321   0.56314480
 48.40000000   1.00956459   0.32806232   0.56342277
 48.60000000   1.00983428  -0.32808000   0.56370088
 48.80000000   0.62428664  -0.85919988   0.56397912
 49.00000000   0.00003362  -1.06231587   0.56425750
 49.20000000  -0.62454037  -0.85966352   0.56453602
 49.40000000  -1.01081065  -0.32846795   0.56481468
 49.60000000  -1.01108109   0.32848435   0.56509347
 49.80000000  -0.62505785   0.86026013   0.56537240
 50.00000000  -0.00003435   1.06362726   0.56565147
 50.20000000   0.62531078   0.86072515   0.56593068
 50.40000000   1.01205824   0.32887408   0.56621002
 50.60000000   1.01232945  -0.32888919   0.56648951
 50.80000000   0.62583002  -0.86132168   0.56676913
 51.00000000   0.00003508  -1.06494026   0.56704888
 51.20000000  -0.62608215  -0.86178809   0.56732878
 51.40000000  -1.01330738  -0.32928072   0.56760882
 51.60000000  -1.01357934   0.32929454   0.56788899
 51.80000000  -0.62660314   0.86238455   0.56816930
 52.00000000  -0.00003582   1.06625489   0.56844975
 52.20000000   0.62685447   0.86285234   0.56873034
 52.40000000   1.01455805   0.32968786   0.56901106
 52.60000000   1.01483078  -0.32970039   0.56929193
 52.80000000   0.62737721  -0.86344872   0.56957293
 53.00000000   0.00003655  -1.06757114   0.56985407
 53.20000000  -0.62762773  -0.86391790   0.57013535
 53.40000000  -1.01581027  -0.33009550   0.57041677
 53.60000000  -1.01608376   0.33010673   0.57069833
 53.80000000  -0.62815224   0.86451421   0.57098003
 54.00000000  -0.00003729   1.06888902   0.57126187
 54.20000000   0.62840196   0.86498478   0.57154384
 54.40000000   1.01706404   0.33050365   0.57182596
 54.60000000   1.01733829  -0.33051358   0.57210821
