# dT = 0.00250000
# Vi = 1.00000000
# Xi = 0.00000000
# tot_Step =   80001
# print_skip =      80
# method = Predictor-Corrector
#                   t                  vel                  pos                    E
  0.00000000   0.00000000   1.00000000   0.50000000
  0.20000000   0.58777355   0.80901886   0.49999463
  0.40000000   0.95103978   0.30902311   0.49998598
  0.60000000   0.95104474  -0.30900774   0.49998594
  0.80000000   0.58778655  -0.80900928   0.49999452
  1.00000000   0.00001615  -0.99999981   0.49999981
  1.20000000  -0.58776038  -0.80902820   0.49999444
  1.40000000  -0.95103461  -0.30903841   0.49998579
  1.60000000  -0.95104954   0.30899233   0.49998575
  1.80000000  -0.58779950   0.80899963   0.49999433
  2.00000000  -0.00003230   0.99999962   0.49999962
  2.20000000   0.58774720   0.80903754   0.49999425
  2.40000000   0.95102944   0.30905371   0.49998560
  2.60000000   0.95105435  -0.30897691   0.49998556
  2.80000000   0.58781245  -0.80898999   0.49999414
  3.00000000   0.00004844  -0.99999943   0.49999943
  3.20000000  -0.58773402  -0.80904687   0.49999406
  3.40000000  -0.95102427  -0.30906901   0.49998541
  3.60000000  -0.95105916   0.30896149   0.49998537
  3.80000000  -0.58782541   0.80898034   0.49999395
  4.00000000  -0.00006459   0.99999924   0.49999924
  4.20000000   0.58772085   0.80905621   0.49999387
  4.40000000   0.95101909   0.30908431   0.49998521
  4.60000000   0.95106397  -0.30894608   0.49998518
  4.80000000   0.58783836  -0.80897069   0.49999376
  5.00000000   0.00008074  -0.99999905   0.49999905
  5.20000000  -0.58770767  -0.80906555   0.49999368
  5.40000000  -0.95101392  -0.30909961   0.49998502
  5.60000000  -0.95106878   0.30893066   0.49998499
  5.80000000  -0.58785131   0.80896105   0.49999357
  6.00000000  -0.00009689   0.99999885   0.49999886
  6.20000000   0.58769449   0.80907489   0.49999349
  6.40000000   0.95100875   0.30911491   0.49998483
  6.60000000   0.95107358  -0.30891524   0.49998479
  6.80000000   0.58786426  -0.80895140   0.49999338
  7.00000000   0.00011304  -0.99999866   0.49999867
  7.20000000  -0.58768132  -0.80908422   0.49999330
  7.40000000  -0.95100358  -0.30913021   0.49998464
  7.60000000  -0.95107839   0.30889982   0.49998460
  7.80000000  -0.58787721   0.80894175   0.49999319
  8.00000000  -0.00012919   0.99999847   0.49999848
  8.20000000   0.58766814   0.80909356   0.49999311
  8.40000000   0.95099840   0.30914551   0.49998445
  8.60000000   0.95108320  -0.30888441   0.49998441
  8.80000000   0.58789016  -0.80893210   0.49999300
  9.00000000   0.00014533  -0.99999828   0.49999829
  9.20000000  -0.58765496  -0.80910289   0.49999292
  9.40000000  -0.95099323  -0.30916081   0.49998426
  9.60000000  -0.95108801   0.30886899   0.49998422
  9.80000000  -0.58790311   0.80892246   0.49999281
 10.00000000  -0.00016148   0.99999808   0.49999810
 10.20000000   0.58764178   0.80911223   0.49999273
 10.40000000   0.95098806   0.30917610   0.49998407
 10.60000000   0.95109281  -0.30885357   0.49998403
 10.80000000   0.58791607  -0.80891281   0.49999261
 11.00000000   0.00017763  -0.99999789   0.49999791
 11.20000000  -0.58762861  -0.80912157   0.49999254
 11.40000000  -0.95098288  -0.30919140   0.49998388
 11.60000000  -0.95109762   0.30883815   0.49998384
 11.80000000  -0.58792902   0.80890316   0.49999242
 12.00000000  -0.00019378   0.99999770   0.49999772
 12.20000000   0.58761543   0.80913090   0.49999235
 12.40000000   0.95097771   0.30920670   0.49998369
 12.60000000   0.95110243  -0.30882273   0.49998365
 12.80000000   0.58794197  -0.80889351   0.49999223
 13.00000000   0.00020993  -0.99999750   0.49999753
 13.20000000  -0.58760225  -0.80914024   0.49999216
 13.40000000  -0.95097254  -0.30922200   0.49998350
 13.60000000  -0.95110723   0.30880732   0.49998346
 13.80000000  -0.58795492   0.80888386   0.49999204
 14.00000000  -0.00022608   0.99999731   0.49999734
 14.20000000   0.58758907   0.80914957   0.49999197
 14.40000000   0.95096736   0.30923730   0.49998331
 14.60000000   0.95111204  -0.30879190   0.49998327
 14.80000000   0.58796787  -0.80887421   0.49999185
 15.00000000   0.00024222  -0.99999712   0.49999715
 15.20000000  -0.58757589  -0.80915891   0.49999178
 15.40000000  -0.95096219  -0.30925260   0.49998312
 15.60000000  -0.95111684   0.30877648   0.49998308
 15.80000000  -0.58798082   0.80886456   0.49999166
 16.00000000  -0.00025837   0.99999692   0.49999696
 16.20000000   0.58756272   0.80916824   0.49999159
 16.40000000   0.95095701   0.30926789   0.49998293
 16.60000000   0.95112165  -0.30876106   0.49998289
 16.80000000   0.58799377  -0.80885492   0.49999147
 17.00000000   0.00027452  -0.99999673   0.49999677
 17.20000000  -0.58754954  -0.80917758   0.49999140
 17.40000000  -0.95095184  -0.30928319   0.49998274
 17.60000000  -0.95112645   0.30874564   0.49998270
 17.80000000  -0.58800672   0.80884527   0.49999128
 18.00000000  -0.00029067   0.99999653   0.49999658
 18.20000000   0.58753636   0.80918691   0.49999121
 18.40000000   0.95094666   0.30929849   0.49998255
 18.60000000   0.95113126  -0.30873023   0.49998251
 18.80000000   0.58801967  -0.80883562   0.49999109
 19.00000000   0.00030682  -0.99999634   0.49999639
 19.20000000  -0.58752318  -0.80919624   0.49999102
 19.40000000  -0.95094149  -0.30931379   0.49998236
 19.60000000  -0.95113606   0.30871481   0.49998232
 19.80000000  -0.58803262   0.80882597   0.49999090
 20.00000000  -0.00032297   0.99999614   0.49999619
 20.20000000   0.58751000   0.80920558   0.49999083
 20.40000000   0.95093631   0.30932908   0.49998217
 20.60000000   0.95114087  -0.30869939   0.49998213
 20.80000000   0.58804556  -0.80881632   0.49999071
 21.00000000   0.00033911  -0.99999595   0.49999600
 21.20000000  -0.58749682  -0.80921491   0.49999064
 21.40000000  -0.95093113  -0.30934438   0.49998198
 21.60000000  -0.95114567   0.30868397   0.49998194
 21.80000000  -0.58805851   0.80880667   0.49999052
 22.00000000  -0.00035526   0.99999575   0.49999581
 22.20000000   0.58748364   0.80922424   0.49999045
 22.40000000   0.95092596   0.30935968   0.49998179
 22.60000000   0.95115047  -0.30866855   0.49998175
 22.80000000   0.58807146  -0.80879702   0.49999033
 23.00000000   0.00037141  -0.99999556   0.49999562
 23.20000000  -0.58747046  -0.80923358   0.49999026
 23.40000000  -0.95092078  -0.30937498   0.49998160
 23.60000000  -0.95115528   0.30865313   0.49998156
 23.80000000  -0.58808441   0.80878737   0.49999014
 24.00000000  -0.00038756   0.99999536   0.49999543
 24.20000000   0.58745728   0.80924291   0.49999007
 24.40000000   0.95091560   0.30939027   0.49998141
 24.60000000   0.95116008  -0.30863771   0.49998137
 24.80000000   0.58809736  -0.80877771   0.49998995
 25.00000000   0.00040371  -0.99999516   0.49999524
 25.20000000  -0.58744410  -0.80925224   0.49998988
 25.40000000  -0.95091043  -0.30940557   0.49998122
 25.60000000  -0.95116488   0.30862229   0.49998118
 25.80000000  -0.58811031   0.80876806   0.49998976
 26.00000000  -0.00041985   0.99999497   0.49999505
 26.20000000   0.58743092   0.80926158   0.49998969
 26.40000000   0.95090525   0.30942087   0.49998103
 26.60000000   0.95116969  -0.30860688   0.49998099
 26.80000000   0.58812326  -0.80875841   0.49998957
 27.00000000   0.00043600  -0.99999477   0.49999486
 27.20000000  -0.58741774  -0.80927091   0.49998950
 27.40000000  -0.95090007  -0.30943617   0.49998084
 27.60000000  -0.95117449   0.30859146   0.49998080
 27.80000000  -0.58813620   0.80874876   0.49998938
 28.00000000  -0.00045215   0.99999457   0.49999467
 28.20000000   0.58740456   0.80928024   0.49998931
 28.40000000   0.95089489   0.30945146   0.49998065
 28.60000000   0.95117929  -0.30857604   0.49998061
 28.80000000   0.58814915  -0.80873911   0.49998919
 29.00000000   0.00046830  -0.99999437   0.49999448
 29.20000000  -0.58739138  -0.80928957   0.49998912
 29.40000000  -0.95088971  -0.30946676   0.49998046
 29.60000000  -0.95118409   0.30856062   0.49998042
 29.80000000  -0.58816210   0.80872946   0.49998900
 30.00000000  -0.00048445   0.99999418   0.49999429
 30.20000000   0.58737820   0.80929890   0.49998893
 30.40000000   0.95088454   0.30948206   0.49998027
 30.60000000   0.95118889  -0.30854520   0.49998023
 30.80000000   0.58817505  -0.80871980   0.49998881
 31.00000000   0.00050060  -0.99999398   0.49999410
 31.20000000  -0.58736502  -0.80930823   0.49998874
 31.40000000  -0.95087936  -0.30949735   0.49998008
 31.60000000  -0.95119369   0.30852978   0.49998003
 31.80000000  -0.58818800   0.80871015   0.49998861
 32.00000000  -0.00051674   0.99999378   0.49999391
 32.20000000   0.58735184   0.80931757   0.49998855
 32.40000000   0.95087418   0.30951265   0.49997989
 32.60000000   0.95119850  -0.30851436   0.49997984
 32.80000000   0.58820094  -0.80870050   0.49998842
 33.00000000   0.00053289  -0.99999358   0.49999372
 33.20000000  -0.58733866  -0.80932690   0.49998836
 33.40000000  -0.95086900  -0.30952795   0.49997970
 33.60000000  -0.95120330   0.30849894   0.49997965
 33.80000000  -0.58821389   0.80869085   0.49998823
 34.00000000  -0.00054904   0.99999338   0.49999353
 34.20000000   0.58732548   0.80933623   0.49998817
 34.40000000   0.95086382   0.30954324   0.49997951
 34.60000000   0.95120810  -0.30848352   0.49997946
 34.80000000   0.58822684  -0.80868119   0.49998804
 35.00000000   0.00056519  -0.99999318   0.49999334
 35.20000000  -0.58731230  -0.80934556   0.49998798
 35.40000000  -0.95085864  -0.30955854   0.49997932
 35.60000000  -0.95121290   0.30846810   0.49997927
 35.80000000  -0.58823978   0.80867154   0.49998785
 36.00000000  -0.00058134   0.99999298   0.49999315
 36.20000000   0.58729912   0.80935489   0.49998779
 36.40000000   0.95085346   0.30957384   0.49997913
 36.60000000   0.95121770  -0.30845268   0.49997908
 36.80000000   0.58825273  -0.80866189   0.49998766
 37.00000000   0.00059748  -0.99999278   0.49999296
 37.20000000  -0.58728593  -0.80936422   0.49998760
 37.40000000  -0.95084828  -0.30958913   0.49997894
 37.60000000  -0.95122250   0.30843726   0.49997889
 37.80000000  -0.58826568   0.80865223   0.49998747
 38.00000000  -0.00061363   0.99999258   0.49999277
 38.20000000   0.58727275   0.80937355   0.49998741
