# dT = 0.00250000
# Vi = 1.00000000
# Xi = 0.00000000
# tot_Step =   80001
# print_skip =      80
# method = Velocity-Verlet
#                   t                  vel                  pos                    E
  0.00000000   0.00000000   1.00000000   0.50000000
  0.20000000   0.58850838   0.80886276   0.50030054
  0.40000000   0.95340510   0.30791685   0.50189704
  0.60000000   0.95458891  -0.31202441   0.50429961
  0.80000000   0.59070856  -0.81416850   0.50590347
  1.00000000   0.00002234  -1.00618752   0.50620666
  1.20000000  -0.59213166  -0.81388076   0.50651089
  1.40000000  -0.95929735  -0.30984340   0.50812716
  1.60000000  -0.96050233   0.31393374   0.51055956
  1.80000000  -0.59438172   0.81919298   0.51218338
  2.00000000  -0.00004496   1.01241331   0.51249036
  2.20000000   0.59577725   0.81892989   0.51279834
  2.40000000   0.96522601   0.31178199   0.51443463
  2.60000000   0.96645239  -0.31585475   0.51689722
  2.80000000   0.59807771  -0.82424847   0.51854125
  3.00000000   0.00006786  -1.01867764   0.51885207
  3.20000000  -0.59944528  -0.82401034   0.51916384
  3.40000000  -0.97119131  -0.31373271   0.52082038
  3.60000000  -0.97243930   0.31778751   0.52331354
  3.80000000  -0.60179669   0.82933516   0.52497803
  4.00000000  -0.00009104   1.02498072   0.52529274
  4.20000000   0.60313589   0.82912231   0.52560835
  4.40000000   0.97719347   0.31569563   0.52728541
  4.60000000   0.97846329  -0.31973210   0.52980952
  4.80000000   0.60553879  -0.83445324   0.53149472
  5.00000000   0.00011450  -1.03132280   0.53181337
  5.20000000  -0.60684923  -0.83426599   0.53213286
  5.40000000  -0.98323273  -0.31767084   0.53383068
  5.60000000  -0.98452461   0.32168859   0.53638613
  5.80000000  -0.60930416   0.83960290   0.53809230
  6.00000000  -0.00013825   1.03770412   0.53841493
  6.20000000   0.61058542   0.83944158   0.53873836
  6.40000000   0.98930932   0.31965840   0.54045721
  6.60000000   0.99062347  -0.32365705   0.54304437
  6.80000000   0.61309295  -0.84478434   0.54477177
  7.00000000   0.00016229  -1.04412493   0.54509845
  7.20000000  -0.61434462  -0.84464928   0.54542586
  7.40000000  -0.99542345  -0.32165839   0.54716599
  7.60000000  -0.99676011   0.32563755   0.54978527
  7.80000000  -0.61690529   0.84999776   0.55153416
  8.00000000  -0.00018662   1.05058546   0.55186493
  8.20000000   0.61812696   0.84988929   0.55219637
  8.40000000   1.00157538   0.32367090   0.55395804
  8.60000000   1.00293477  -0.32763016   0.55660984
  8.80000000   0.62074134  -0.85524335   0.55838050
  9.00000000   0.00021125  -1.05708597   0.55871540
